,Latitude in degrees,Longitude in degrees,Frequency(MHz),EIRP
0,-34.89444444444444,-57.958333333333336,50.007,0
1,-31.56111111111111,-62.04166666666667,50.01,5
2,-30.76944444444444,-60.541666666666664,50.047,0
3,-45.93611111111111,-67.54166666666664,50.048,0
4,-34.1861111111111,-58.20805555555556,50.05,4
5,-31.644444444444446,-65.79138888888887,50.054,0
6,-34.602777777777774,-58.45805555555556,50.057,0
7,-34.85277777777779,-57.95805555555555,50.062,0
8,-34.85277777777779,-57.958333333333336,50.063,0
9,-34.644444444444446,-58.375,50.075,0
10,-33.81111111111111,-59.541666666666664,50.08,0
11,-33.0611111111111,-60.541666666666664,50.082,8
12,-40.14444444444445,-63.29166666666667,50.085,0
13,-40.14444444444445,-71.29166666666667,50.085,0
14,-26.833333333333332,-65.17777777777776,87.5,0
15,-34.608333333333334,-58.367777777777775,87.5,0
16,-31.327777777777776,-64.2461111111111,87.5,0
17,-34.49444444444445,-58.72777777777778,87.5,0
18,-26.019444444444442,-54.61527777777777,87.5,0
19,-31.636111111111113,-60.72416666666666,87.5,0
20,-34.611111111111114,-58.416666666666664,87.7,0
21,-34.88333333333333,-58.39444444444444,87.7,0
22,-34.75000000000001,-58.58333333333334,87.7,0
23,-29.41388888888889,-66.85749999999999,87.7,0
24,-38.0,-57.5611111111111,87.7,0
25,-34.67777777777777,-58.75000000000001,87.7,0
26,-31.733333333333338,-60.53333333333333,87.7,0
27,-32.95,-60.67777777777777,87.7,0
28,-31.636111111111113,-60.72416666666666,87.7,0
29,-26.733333333333338,-65.27777777777777,87.7,0
30,-41.14444444444445,-71.34722222222221,87.75,0
31,-34.597222222222214,-58.398333333333326,87.9,35000
32,-45.85277777777779,-67.51305555555555,87.9,1000
33,-33.35,-63.72777777777778,87.9,0
34,-38.72222222222223,-62.24944444444445,87.9,0
35,-31.31666666666667,-64.22777777777777,87.9,0
36,-31.31666666666667,-64.22777777777777,87.9,0
37,-46.43055555555556,-67.5361111111111,87.9,0
38,-34.19444444444444,-58.92777777777777,87.9,0
39,-31.25555555555556,-64.16750000000002,87.9,0
40,-33.12222222222223,-62.30277777777777,87.9,0
41,-34.92777777777777,-57.95,87.9,0
42,-33.72777777777778,-61.31583333333332,87.9,0
43,-31.31666666666667,-60.65,87.9,0
44,-39.400000000000006,-65.7,87.9,0
45,-32.88333333333333,-68.82777777777775,87.9,0
46,-29.194444444444443,-58.074722222222235,87.9,0
47,-31.350000000000005,-63.95,87.9,0
48,-31.733333333333338,-60.53333333333333,87.9,0
49,-26.8,-55.02777777777777,87.9,0
50,-32.95,-60.67777777777777,87.9,0
51,-34.72777777777778,-68.23333333333333,87.9,0
52,-34.24444444444444,-59.468333333333334,87.9,0
53,-38.63055555555555,-68.29861111111111,87.9,0
54,-37.833333333333336,-57.511111111111106,87.9,0
55,-31.636111111111113,-60.72416666666666,87.9,0
56,-26.350000000000005,-60.444444444444436,87.9,0
57,-27.583333333333336,-60.72777777777778,87.9,0
58,-31.411111111111108,-64.51666666666667,87.9,0
59,-30.89166666666667,-63.116944444444435,87.9,0
60,-31.16111111111111,-63.40416666666667,87.9,0
61,-34.56111111111112,-58.45833333333334,88.1,1000
62,-26.416666666666668,-54.62777777777777,88.1,1000
63,-38.55833333333332,-58.74472222222222,88.1,1000
64,-34.56944444444445,-58.71916666666667,88.1,500
65,-26.827777777777776,-65.14444444444443,88.1,0
66,-31.663888888888888,-60.69888888888888,88.1,0
67,-31.722222222222218,-64.40388888888889,88.1,0
68,-34.76111111111111,-58.2063888888889,88.1,0
69,-35.11666666666667,-60.511111111111106,88.1,0
70,-34.62222222222222,-58.41583333333333,88.1,0
71,-35.05,-58.75000000000001,88.1,0
72,-32.86111111111111,-61.150000000000006,88.1,0
73,-31.583333333333336,-60.077777777777776,88.1,0
74,-34.65,-60.46666666666667,88.1,0
75,-31.39444444444445,-64.25888888888889,88.1,0
76,-37.43888888888889,-57.71999999999999,88.1,0
77,-27.46666666666667,-58.833333333333336,88.1,0
78,-32.608333333333334,-63.576388888888886,88.1,0
79,-32.863888888888894,-68.79166666666666,88.1,0
80,-50.33333333333334,-72.30000000000001,88.1,0
81,-26.311111111111114,-59.37777777777777,88.1,0
82,-26.194444444444443,-58.19444444444444,88.1,0
83,-24.677777777777774,-65.05,88.1,0
84,-35.67777777777777,-63.74444444444444,88.1,0
85,-30.90555555555556,-62.21583333333334,88.1,0
86,-33.46666666666667,-67.5611111111111,88.1,0
87,-34.92777777777777,-57.95,88.1,0
88,-29.41388888888889,-66.85749999999999,88.1,0
89,-25.14444444444444,-58.261111111111106,88.1,0
90,-28.050000000000004,-65.46666666666667,88.1,0
91,-27.227777777777774,-59.28333333333334,88.1,0
92,-35.46666666666667,-69.59444444444442,88.1,0
93,-32.70000000000001,-62.10000000000001,88.1,0
94,-32.88333333333333,-68.82777777777775,88.1,0
95,-34.65,-59.444444444444436,88.1,0
96,-34.81666666666668,-58.49444444444445,88.1,0
97,-38.93055555555555,-68.06111111111113,88.1,0
98,-27.49444444444444,-55.14444444444444,88.1,0
99,-31.733333333333338,-60.53333333333333,88.1,0
100,-43.866666666666674,-69.1,88.1,0
101,-33.91111111111111,-60.56666666666668,88.1,0
102,-46.8111111111111,-67.97777777777777,88.1,0
103,-31.683333333333334,-68.59444444444442,88.1,0
104,-27.377777777777776,-55.91111111111111,88.1,0
105,-38.88333333333333,-62.09444444444444,88.1,0
106,-53.79444444444444,-67.7,88.1,0
107,-45.694444444444436,-70.27777777777777,88.1,0
108,-34.63333333333334,-58.56666666666668,88.1,0
109,-29.16111111111111,-59.65,88.1,0
110,-32.95,-60.67777777777777,88.1,0
111,-24.780555555555555,-65.39500000000001,88.1,0
112,-35.31111111111111,-59.16666666666667,88.1,0
113,-41.13888888888889,-71.2786111111111,88.1,0
114,-27.266666666666666,-55.53333333333333,88.1,0
115,-30.79444444444444,-60.58333333333334,88.1,0
116,-34.51666666666667,-58.79444444444444,88.1,0
117,-26.827777777777776,-65.21277777777779,88.1,0
118,-31.61666666666667,-58.511111111111106,88.1,0
119,-24.194444444444443,-65.30000000000001,88.1,0
120,-31.636111111111113,-60.72416666666666,88.1,0
121,-27.79444444444444,-64.25000000000001,88.1,0
122,-39.0,-68.41666666666667,88.1,0
123,-37.611111111111114,-70.36111111111109,88.1,0
124,-31.583333333333336,-66.25000000000001,88.1,0
