,Latitude in degrees,Longitude in degrees,Frequency(MHz),EIRP
0,-23.583333333333336,25.500000000000004,87.7,500.0
1,-25.644444444444442,25.561111111111106,87.8,1000.0
2,-21.97777777777777,27.877777777777776,87.9,1000.0
3,-24.10555555555556,25.027777777777775,87.9,500.0
4,-20.0,23.411111111111108,87.9,500.0
5,-23.194444444444443,27.411111111111108,88.0,5000.0
6,-22.533333333333335,27.14444444444444,88.4,1000.0
7,-25.0,25.377777777777776,89.0,500.0
8,-25.76111111111111,24.533333333333335,89.2,1000.0
9,-22.411111111111108,26.700000000000003,89.8,1000.0
10,-24.677777777777777,25.770277777777782,89.9,5000.0
11,-22.411111111111108,26.700000000000003,89.9,1000.0
12,-23.97777777777777,21.8,89.9,500.0
13,-21.330555555555556,25.356388888888887,89.9,100.0
14,-23.077777777777776,26.833333333333332,90.3,1000.0
15,-26.050000000000004,22.433333333333337,90.3,1000.0
16,-21.16111111111111,27.511111111111106,90.5,3000.0
17,-21.683333333333334,21.677777777777774,90.8,500.0
18,-25.43611111111111,25.406111111111112,90.9,1000.0
19,-25.644444444444442,25.561111111111106,90.9,1000.0
20,-21.97777777777777,27.877777777777776,91.0,1000.0
21,-20.0,23.411111111111108,91.0,500.0
22,-17.833333333333332,25.16666666666667,91.2,500.0
23,-22.533333333333335,27.14444444444444,91.5,500.0
24,-22.833333333333332,25.26111111111111,91.7,500.0
25,-20.611111111111107,27.350000000000005,91.9,2000.0
26,-21.330555555555556,25.356388888888887,92.1,500.0
27,-25.76111111111111,24.533333333333335,92.3,1000.0
28,-25.65277777777777,25.404444444444437,92.5,500.0
29,-24.644444444444442,24.733333333333338,92.7,1000.0
30,-22.411111111111108,26.700000000000003,92.9,1000.0
31,-23.97777777777777,21.8,92.9,500.0
32,-24.677777777777777,25.770277777777782,93.0,5000.0
33,-23.077777777777776,26.833333333333332,93.4,1000.0
34,-21.16111111111111,27.511111111111106,93.6,1000.0
35,-21.683333333333334,21.677777777777774,94.0,100.0
36,-25.21111111111111,25.663055555555555,94.1,1000.0
37,-20.0,23.411111111111108,94.2,500.0
38,-21.97777777777777,27.877777777777776,94.2,100.0
39,-23.194444444444443,27.411111111111108,94.3,5000.0
40,-17.833333333333332,25.16666666666667,94.4,500.0
41,-24.677777777777774,25.111111111111107,94.5,3000.0
42,-25.43611111111111,25.406111111111112,94.6,500.0
43,-22.533333333333335,27.14444444444444,94.7,1000.0
44,-23.744444444444444,26.468888888888884,94.7,500.0
45,-22.833333333333332,25.26111111111111,94.9,500.0
46,-23.986111111111114,25.248888888888896,94.9,500.0
47,-23.027777777777775,27.53388888888889,95.2,1000.0
48,-25.0,25.377777777777776,95.3,500.0
49,-21.330555555555556,25.356388888888887,95.3,500.0
50,-21.994444444444447,28.416944444444447,95.9,500.0
51,-22.411111111111108,26.700000000000003,96.1,1000.0
52,-21.0,22.76111111111111,96.1,500.0
53,-24.677777777777777,25.770277777777782,96.2,1000.0
54,-23.97777777777777,21.8,96.2,500.0
