,Latitude in degrees,Longitude in degrees,Frequency(MHz),EIRP
0,4.944444444444444,114.9611111111111,88.5,0
1,4.883333333333334,114.96166666666669,89.1,1000
2,4.6000000000000005,114.28333333333333,89.5,500
3,4.883333333333334,114.96166666666669,90.7,1000
4,4.610833333333333,114.50194444444446,91.0,5000
5,4.883333333333334,114.96166666666669,91.4,5000
6,4.883333333333334,114.96166666666669,92.3,5000
7,4.883333333333334,114.96166666666669,92.9,1000
8,4.883333333333334,114.96166666666669,93.3,5000
9,4.610833333333333,114.50194444444446,93.8,5000
10,4.883333333333334,114.96166666666669,94.1,5000
11,4.610833333333333,114.50194444444446,94.4,1000
12,4.610833333333333,114.50194444444446,94.9,5000
13,4.883333333333334,114.96166666666669,95.9,5000
14,4.594444444444443,114.19444444444444,96.3,0
15,4.610833333333333,114.50194444444446,96.9,5000
16,4.610833333333333,114.50194444444446,97.7,5000
17,4.883333333333334,114.96166666666669,98.7,1000
18,4.610833333333333,114.50194444444446,99.7,1000
19,4.883333333333334,114.96166666666669,100.1,1000
20,4.610833333333333,114.50194444444446,100.9,1000
21,4.6000000000000005,114.28333333333333,101.7,500
