,Latitude in degrees,Longitude in degrees,Frequency(MHz),EIRP
0,12.366666666666669,-1.5333333333333334,87.7,1000
1,14.044444444444444,-0.016666666666666666,87.9,500
2,11.249166666666666,-0.30444444444444446,88.0,0
3,12.4,-1.5166666666666668,88.1,1000
4,10.994444444444444,-4.927777777777777,88.1,300
5,11.12,-2.0897222222222216,88.2,300
6,13.065555555555557,-3.071111111111111,88.3,20000
7,11.240277777777777,0.7036111111111112,88.3,2000
8,10.640277777777778,-4.760833333333333,88.4,1000
9,10.966666666666667,-3.2472222222222222,88.4,500
10,12.344444444444447,-1.5625,88.5,310
11,12.744444444444444,-3.8666666666666667,88.8,1000
12,12.665000000000001,-0.5661111111111111,88.9,300
13,11.155555555555557,-4.28361111111111,88.9,0
14,14.093888888888891,-1.6241666666666668,89.0,20000
15,12.250000000000002,-2.366666666666667,89.1,1000
16,12.06111111111111,0.35,89.2,1000
17,12.665555555555557,-1.8941666666666668,89.3,1000
18,11.577777777777778,-1.2052777777777774,89.4,300
19,13.570833333333333,-2.4199999999999995,89.5,1000
20,12.068333333333332,1.7858333333333336,89.5,300
21,12.366666666666669,-1.5333333333333334,89.7,1000
22,11.155555555555557,-4.28361111111111,89.8,1000
23,13.094722222222224,-1.0863888888888886,89.8,1000
24,13.570833333333333,-2.4199999999999995,89.9,3162
25,12.250000000000002,-2.366666666666667,89.9,1000
26,11.16111111111111,-1.1333333333333335,89.9,300
27,12.833333333333334,-2.927777777777777,90.0,1000
28,10.332777777777778,-3.175555555555556,90.1,1000
29,11.155555555555557,-4.28361111111111,90.2,1000
30,12.344444444444447,-1.5625,90.3,1000
31,12.457777777777778,-3.4641666666666673,90.5,1000
32,11.155555555555557,-4.28361111111111,90.6,4000
33,12.194444444444443,-0.35,90.6,300
34,13.570833333333333,-2.4199999999999995,90.7,500
35,13.771666666666668,-2.073611111111111,90.7,0
36,14.044444444444444,-0.016666666666666666,91.0,2000
37,11.155555555555557,-4.28361111111111,91.0,1000
38,13.570833333333333,-2.4199999999999995,91.1,1600
39,11.788888888888888,-0.35916666666666663,91.1,1000
40,12.366666666666669,-1.5000000000000002,91.2,3162
41,10.994444444444444,-4.927777777777777,91.2,100
42,11.12,-2.0897222222222216,91.3,300
43,11.155555555555557,-4.28361111111111,91.4,2000
44,11.085833333333335,0.7219444444444445,91.4,2000
45,11.744722222222222,-2.932499999999999,91.4,1000
46,12.979444444444445,-0.14277777777777778,91.5,1000
47,13.570833333333333,-2.4199999999999995,91.5,1000
48,10.640277777777778,-4.760833333333333,91.5,750
49,12.366666666666669,-1.5000000000000002,91.6,2000
50,12.960555555555556,-2.2583333333333333,91.7,300
51,11.155555555555557,-4.28361111111111,91.8,1000
52,12.641388888888887,0.4799999999999999,91.8,500
53,12.744444444444444,-3.8666666666666667,91.9,1000
54,12.665000000000001,-0.5661111111111111,92.0,300
55,11.155555555555557,-4.28361111111111,92.0,25
56,11.134166666666664,-3.0652777777777773,92.0,0
57,14.093888888888891,-1.6241666666666668,92.1,4500
58,12.250000000000002,-2.366666666666667,92.2,1000
59,14.441666666666666,-0.235,92.2,500
60,12.06111111111111,0.35,92.3,2000
61,13.570833333333333,-2.4199999999999995,92.3,1000
62,12.366666666666669,-1.5333333333333334,92.4,500
63,11.661944444444444,-1.0672222222222223,92.5,1000
64,13.2425,0.9786111111111113,92.5,0
65,11.155555555555557,-4.28361111111111,92.6,1000
66,12.250000000000002,-2.366666666666667,92.6,1000
67,12.068333333333332,1.7858333333333336,92.6,300
68,13.570833333333333,-2.4199999999999995,92.7,1000
69,12.366666666666669,-1.5333333333333334,92.8,500
70,11.504722222222224,0.061666666666666675,92.8,500
71,12.250000000000002,-2.366666666666667,93.0,750
72,11.155555555555557,-4.28361111111111,93.1,1000
73,13.320555555555554,-1.5249999999999997,93.2,3000
74,10.332777777777778,-3.175555555555556,93.2,1000
75,11.481666666666664,-0.5300000000000001,93.3,0
76,12.4,-1.5166666666666668,93.4,500
77,13.570833333333333,-2.4199999999999995,93.5,5000
78,11.155555555555557,-4.28361111111111,93.5,1000
79,12.491666666666664,1.5199999999999998,93.5,1000
80,12.457777777777778,-3.4641666666666673,93.6,300
81,12.194444444444443,-0.35,93.7,25
82,12.250000000000002,-2.366666666666667,93.8,5000
83,13.570833333333333,-2.4199999999999995,93.9,1000
84,12.344444444444447,-1.5625,94.0,1000
85,12.06111111111111,0.35,94.0,500
86,12.250000000000002,-2.366666666666667,94.2,3162
87,14.044444444444444,-0.016666666666666666,94.2,2000
88,11.580555555555557,-2.047222222222222,94.2,500
89,13.570833333333333,-2.4199999999999995,94.3,500
90,11.17972222222222,-0.6349999999999999,94.3,500
91,11.155555555555557,-4.28361111111111,94.4,1000
92,12.366666666666669,-1.5000000000000002,94.4,1000
93,13.1175,-4.168333333333334,94.6,100
94,10.966666666666667,-3.2472222222222222,94.7,2500
95,13.570833333333333,-2.4199999999999995,94.7,1000
96,10.640277777777778,-4.760833333333333,94.7,300
97,13.435,0.5447222222222222,94.7,0
98,12.370555555555553,-1.524722222222222,94.8,300
99,12.250000000000002,-2.366666666666667,95.0,3162
100,11.155555555555557,-4.28361111111111,95.1,1000
101,12.17972222222222,-4.065277777777777,95.1,0
102,10.640277777777778,-4.760833333333333,95.2,1000
103,12.200833333333334,-0.7330555555555556,95.2,500
104,12.366666666666669,-1.5000000000000002,95.3,550
105,12.250000000000002,-2.366666666666667,95.4,1000
106,13.570833333333333,-2.4199999999999995,95.5,2000
107,12.06111111111111,0.35,95.5,1000
108,11.507499999999999,-3.5263888888888886,95.5,500
109,12.250000000000002,-0.6202777777777779,95.6,500
110,12.366666666666669,-1.5333333333333334,95.7,1000
111,12.068333333333332,1.7858333333333336,95.8,300
112,11.155555555555557,-4.28361111111111,95.9,1000
113,12.366666666666669,-1.5333333333333334,96.1,500
114,13.094722222222224,-1.0863888888888886,96.1,300
115,12.250000000000002,-2.366666666666667,96.2,1000
116,12.068333333333332,1.7858333333333336,96.2,0
117,11.155555555555557,-4.28361111111111,96.3,1000
118,12.4,-1.5166666666666668,96.6,1000
119,13.570833333333333,-2.4199999999999995,96.7,1000
120,11.155555555555557,-4.28361111111111,96.7,500
121,12.457777777777778,-3.4641666666666673,96.8,1000
122,12.846111111111112,-2.0383333333333327,96.9,500
123,12.194444444444443,-0.35,96.9,300
124,13.570833333333333,-2.4199999999999995,97.0,1000
125,11.155555555555557,-4.28361111111111,97.1,2000
126,11.37861111111111,-4.415000000000001,97.1,0
127,12.4,-1.5166666666666668,97.3,1000
128,12.250000000000002,-2.366666666666667,97.4,5000
129,12.060277777777777,-2.227222222222222,97.4,500
130,14.044444444444444,-0.016666666666666666,97.5,500
131,11.155555555555557,-4.28361111111111,97.5,400
132,13.570833333333333,-2.4199999999999995,97.5,63
133,11.788888888888888,-0.35916666666666663,97.6,300
134,12.366666666666669,-1.5000000000000002,97.7,1000
135,12.250000000000002,-2.366666666666667,97.8,3162
136,11.12,-2.0897222222222216,97.8,250
137,13.065555555555557,-3.071111111111111,97.9,20000
138,11.155555555555557,-4.28361111111111,97.9,2000
139,12.979444444444445,-0.14277777777777778,98.0,1000
