,Latitude in degrees,Longitude in degrees,Frequency(MHz),EIRP
0,-45.57222222222222,-72.0875,47.2,0
1,-30.60277777777778,-71.17055555555555,47.2,0
2,-34.21388888888889,-70.7352777777778,47.2,0
3,-35.444444444444436,-71.66666666666669,47.2,0
4,-28.57777777777778,-70.75000000000001,47.2,0
5,-22.46666666666667,-68.93333333333334,47.4,500
6,-35.33333333333334,-72.41666666666667,47.4,0
7,-35.86111111111111,-71.6111111111111,47.4,0
8,-41.261111111111106,-73.01666666666668,47.4,0
9,-53.150000000000006,-70.92777777777778,47.4,0
10,-20.350000000000005,-70.10888888888887,47.6,0
11,-40.56666666666668,-73.15000000000002,47.6,0
12,-38.74444444444444,-72.6111111111111,47.6,0
13,-33.41944444444444,-70.62999999999998,47.9,5000
14,-36.833333333333336,-73.05,47.9,1000
15,-33.0,-71.51666666666667,47.9,1000
16,-34.21388888888889,-70.7352777777778,47.9,500
17,-29.93611111111111,-71.22277777777778,47.9,250
18,-39.81944444444445,-73.23500000000001,47.9,0
19,-34.58333333333334,-71.0,48.0,0
20,-38.74444444444444,-72.6111111111111,48.0,0
21,-23.583333333333336,-70.33,48.2,0
22,-33.41944444444444,-70.62999999999998,48.3,1000
23,-29.93611111111111,-71.22277777777778,48.3,0
24,-39.81944444444445,-73.23500000000001,48.3,0
25,-33.0,-71.51666666666667,48.3,0
26,-40.56666666666668,-73.15000000000002,48.4,0
27,-18.49444444444444,-70.33333333333334,49.2,0
28,-36.611111111111114,-72.12777777777775,49.2,0
29,-36.833333333333336,-73.05,49.2,0
30,-20.350000000000005,-70.10888888888887,49.2,0
31,-29.93611111111111,-71.22277777777778,49.2,0
32,-37.47500000000001,-72.34527777777778,49.2,0
33,-33.56944444444445,-71.61611111111108,49.2,0
34,-33.0,-71.51666666666667,49.2,0
35,-33.41944444444444,-70.62999999999998,49.3,1000
36,-22.46666666666667,-68.93333333333334,49.3,0
37,-34.98333333333334,-71.23333333333333,49.4,0
38,-23.583333333333336,-70.33,49.6,0
39,-33.269444444444446,-70.70805555555556,50.008,0
40,-53.01944444444445,-70.87499999999999,50.049,50
41,-53.150000000000006,-70.92777777777778,72.4,250
