,Latitude in degrees,Longitude in degrees,Frequency(MHz),EIRP
0,-26.480555555555554,31.306944444444447,88.2,0
1,-26.336111111111112,31.143055555555556,88.5,10000
2,-26.49444444444444,31.347500000000004,88.9,2200
3,-26.488888888888894,31.421944444444442,89.2,1000
4,-25.858333333333338,31.418611111111108,89.7,1000
5,-26.491666666666667,30.939444444444447,89.8,140
6,-26.958333333333332,31.33027777777778,90.7,50000
7,-26.336111111111112,31.143055555555556,91.6,10000
8,-26.49444444444444,31.347500000000004,92.0,2200
9,-26.488888888888894,31.421944444444442,92.3,1230
10,-26.672222222222228,30.982777777777773,92.4,1000
11,-26.49444444444444,31.347500000000004,93.6,10000
12,-26.958333333333332,31.33027777777778,93.9,50000
13,-26.677777777777774,30.994444444444444,94.2,5000
14,-26.311111111111114,31.091944444444444,95.0,1100
15,-27.263888888888893,31.782499999999995,95.0,140
16,-26.486111111111114,31.96138888888889,96.0,1100
17,-26.336111111111112,31.143055555555556,96.0,1000
18,-26.486111111111114,31.96138888888889,96.5,10000
19,-26.672222222222228,31.068611111111114,97.0,690
20,-26.125,31.19416666666667,97.0,300
21,-26.26111111111111,31.024722222222216,97.2,145
22,-26.672222222222228,30.982777777777773,97.5,1550
23,-26.311111111111114,31.091944444444444,98.1,50000
24,-27.263888888888893,31.782499999999995,98.3,300
25,-26.247222222222224,31.572499999999994,99.0,1550
26,-26.486111111111114,31.96138888888889,99.8,10000
27,-26.622222222222224,31.167222222222225,100.3,3500
28,-25.858333333333338,31.418611111111108,100.6,1550
29,-26.497222222222227,31.381111111111114,101.0,3000
30,-26.958333333333332,31.33027777777778,101.0,1100
31,-27.263888888888893,31.782499999999995,101.8,140
32,-26.311111111111114,31.091944444444444,102.0,500
33,-26.247222222222224,31.572499999999994,102.8,500
34,-25.91944444444444,31.128333333333337,103.3,4900
35,-26.125,31.19416666666667,104.0,500
36,-26.491666666666667,30.939444444444447,104.3,140
37,-26.26111111111111,31.024722222222216,104.7,145
38,-26.311111111111114,31.091944444444444,105.2,10000
39,-26.497222222222227,31.381111111111114,105.5,1000
40,-25.91944444444444,31.128333333333337,106.9,2000
41,-26.622222222222224,31.167222222222225,107.5,3500
