,Latitude in degrees,Longitude in degrees,Frequency(MHz),EIRP
0,-18.869444444444447,47.570277777777775,87.8,0
1,-14.911111111111108,50.27777777777777,88.0,1000
2,-18.869444444444447,47.570277777777775,88.0,500
3,-20.533055555555553,47.24527777777778,88.0,100
4,-19.879166666666666,47.00888888888889,88.0,0
5,-13.684166666666666,48.4536111111111,88.4,0
6,-17.819999999999997,48.41861111111111,88.4,0
7,-18.869444444444447,47.570277777777775,88.6,1200
8,-15.71111111111111,46.33333333333334,88.6,0
9,-18.869444444444447,47.570277777777775,88.8,0
10,-18.14444444444444,49.400000000000006,88.8,0
11,-15.71111111111111,46.33333333333334,89.0,0
12,-14.286388888888887,50.15833333333334,89.0,0
13,-18.869444444444447,47.570277777777775,89.2,0
14,-19.879166666666666,47.00888888888889,89.6,0
15,-21.447222222222223,47.074722222222235,89.8,0
16,-18.14444444444444,49.400000000000006,89.8,0
17,-14.661111111111111,49.65777777777778,90.0,1000
18,-18.869444444444447,47.570277777777775,90.0,500
19,-12.294444444444444,49.295833333333334,90.0,500
20,-25.02638888888889,46.953333333333326,90.0,500
21,-13.861111111111109,49.947222222222216,90.0,0
22,-23.350000000000005,43.694444444444436,90.0,0
23,-18.76944444444444,46.04722222222222,90.2,500
24,-18.869444444444447,47.570277777777775,90.6,500
25,-21.447222222222223,47.074722222222235,90.8,500
26,-22.819444444444443,47.83055555555555,90.8,100
27,-18.869444444444447,47.570277777777775,91.0,100
28,-25.177777777777777,46.086111111111116,91.0,0
29,-13.344444444444441,48.31111111111111,91.0,0
30,-18.869444444444447,47.570277777777775,91.2,500
31,-14.911111111111108,50.27777777777777,91.3,500
32,-18.14444444444444,49.400000000000006,91.4,500
33,-23.350000000000005,43.694444444444436,91.4,250
34,-21.447222222222223,47.074722222222235,91.4,0
35,-18.869444444444447,47.570277777777775,91.6,500
36,-22.35611111111111,47.838333333333345,91.6,100
37,-18.869444444444447,47.570277777777775,92.0,500
38,-19.879166666666666,47.00888888888889,92.0,0
39,-21.447222222222223,47.074722222222235,92.0,0
40,-18.14444444444444,49.400000000000006,92.0,0
41,-18.869444444444447,47.570277777777775,92.4,500
42,-18.14444444444444,49.400000000000006,92.4,500
43,-21.833333333333332,46.93333333333334,92.6,500
44,-18.869444444444447,47.570277777777775,92.8,1000
45,-17.821111111111104,44.92138888888888,92.8,0
46,-18.869444444444447,47.570277777777775,93.0,0
47,-21.447222222222223,47.074722222222235,93.0,0
48,-13.344444444444441,48.31111111111111,93.0,0
49,-14.286388888888887,50.15833333333334,93.0,0
50,-18.14444444444444,49.400000000000006,93.2,500
51,-18.869444444444447,47.570277777777775,93.4,10000
52,-21.76111111111111,43.37777777777777,93.4,100
53,-13.684166666666666,48.4536111111111,93.6,500
54,-14.911111111111108,50.27777777777777,93.6,0
55,-22.383333333333333,46.14444444444444,94.0,500
56,-15.71111111111111,46.33333333333334,94.0,500
57,-21.447222222222223,47.074722222222235,94.0,300
58,-18.869444444444447,47.570277777777775,94.0,0
59,-19.879166666666666,47.00888888888889,94.0,0
60,-15.437777777777777,49.73722222222223,94.0,0
61,-13.388888888888886,49.99833333333333,94.0,0
62,-19.40416666666666,46.95083333333334,94.2,500
63,-18.869444444444447,47.570277777777775,94.4,1000
64,-18.76944444444444,46.04722222222222,94.6,500
