,Latitude in degrees,Longitude in degrees,Frequency(MHz),EIRP
0,35.895555555555546,14.458055555555555,50.024,7
1,35.895555555555546,14.458055555555555,50.425,7
2,36.05,14.266666666666667,88.0,300
3,35.88333333333333,14.500000000000002,88.2,200
4,36.06138888888889,14.203055555555556,88.3,200
5,35.859722222222224,14.489166666666664,88.4,9
6,35.927777777777784,14.451944444444443,88.7,2000
7,35.84833333333334,14.517222222222223,89.1,9
8,35.866666666666674,14.383333333333335,89.2,0
9,35.88333333333333,14.500000000000002,89.3,8
10,36.02166666666667,14.294444444444444,89.3,4
11,35.927777777777784,14.451944444444443,89.7,2000
12,35.82916666666667,14.475833333333336,90.6,9
13,35.91111111111111,14.500000000000002,90.8,6
14,36.05,14.233333333333334,90.9,2
15,36.05,14.233333333333334,91.2,0
16,35.927777777777784,14.451944444444443,91.7,2000
17,36.0611111111111,14.209166666666667,92.4,2
18,35.927777777777784,14.451944444444443,92.7,2000
19,35.87388888888888,14.4,93.3,0
20,35.927777777777784,14.451944444444443,93.7,2000
21,35.91111111111111,14.477777777777776,94.5,7
22,36.05,14.216666666666669,95.1,4
23,35.833333333333336,14.477777777777776,95.4,3
24,35.85555555555556,14.533333333333333,95.6,5
25,35.89666666666666,14.462499999999999,95.8,10
26,36.023611111111116,14.245555555555553,96.1,7
27,35.88333333333333,14.494444444444442,97.6,250
28,36.07166666666667,14.237222222222224,97.8,400
29,35.88333333333333,14.51666666666667,98.0,9
30,36.05,14.266666666666667,98.3,7
31,36.04805555555556,14.241388888888885,98.5,500
32,35.86111111111111,14.51666666666667,98.9,9
33,35.86583333333334,14.511944444444444,99.0,3
34,36.03333333333334,14.250000000000002,99.3,6
35,35.927777777777784,14.451944444444443,100.2,2000
36,35.927777777777784,14.451944444444443,101.0,2000
37,35.82916666666667,14.475833333333336,101.4,8
38,36.07166666666667,14.237222222222224,101.4,8
39,35.927777777777784,14.451944444444443,101.8,2000
40,35.927777777777784,14.451944444444443,102.3,2000
41,35.927777777777784,14.451944444444443,103.0,2000
42,36.04805555555556,14.241388888888885,103.4,0
43,35.927777777777784,14.451944444444443,103.7,2000
44,36.05,14.233333333333334,104.0,4
45,35.927777777777784,14.451944444444443,104.6,2000
46,35.88333333333333,14.494444444444442,105.0,9
47,36.03333333333334,14.233333333333334,105.2,7
48,35.879444444444445,14.472222222222223,105.6,13
49,35.927777777777784,14.451944444444443,105.9,2000
50,36.03333333333334,14.327777777777778,106.3,0
51,36.03333333333334,14.294444444444444,106.9,4
52,36.07166666666667,14.237222222222224,107.8,300
