,Latitude in degrees,Longitude in degrees,Frequency(MHz),EIRP
0,-20.311111111111114,57.53444444444444,87.7,10000
1,-20.46111111111111,57.33944444444444,88.6,1600
2,-20.205555555555556,57.665000000000006,88.6,1600
3,-20.491666666666667,57.51138888888888,89.3,1000
4,-20.172222222222224,57.4913888888889,89.3,1000
5,-20.336111111111112,57.77722222222222,89.9,1000
6,-20.46111111111111,57.33944444444444,90.2,1600
7,-20.205555555555556,57.665000000000006,90.2,1600
8,-20.311111111111114,57.53444444444444,90.8,10000
9,-20.491666666666667,57.51138888888888,91.2,1000
10,-20.172222222222224,57.4913888888889,91.2,1000
11,-20.46111111111111,57.33944444444444,91.7,1600
12,-20.205555555555556,57.665000000000006,91.7,1600
13,-20.344444444444445,57.45000000000001,92.0,4000
14,-20.491666666666667,57.51138888888888,92.4,1000
15,-20.172222222222224,57.4913888888889,92.4,1000
16,-20.336111111111112,57.77722222222222,92.7,1000
17,-20.311111111111114,57.53444444444444,93.2,2500
18,-20.491666666666667,57.51138888888888,93.2,1000
19,-20.172222222222224,57.4913888888889,93.2,1000
20,-20.336111111111112,57.77722222222222,93.5,1000
21,-20.311111111111114,57.53444444444444,94.0,10000
22,-20.491666666666667,57.51138888888888,94.4,1000
23,-20.172222222222224,57.4913888888889,94.4,1000
24,-20.336111111111112,57.77722222222222,94.7,1000
25,-20.46111111111111,57.33944444444444,94.9,1600
26,-20.205555555555556,57.665000000000006,94.9,1600
27,-20.491666666666667,57.51138888888888,95.6,1000
28,-20.172222222222224,57.4913888888889,95.6,1000
29,-20.336111111111112,57.77722222222222,95.9,1000
30,-20.344444444444445,57.45000000000001,96.1,4000
31,-20.46111111111111,57.33944444444444,96.4,1600
32,-20.205555555555556,57.665000000000006,96.4,1600
33,-20.311111111111114,57.53444444444444,97.3,10000
34,-20.46111111111111,57.33944444444444,98.2,1600
35,-20.205555555555556,57.665000000000006,98.2,1600
36,-20.336111111111112,57.77722222222222,98.5,1000
37,-20.491666666666667,57.51138888888888,98.9,1000
38,-20.172222222222224,57.4913888888889,98.9,1000
39,-20.311111111111114,57.53444444444444,99.4,1000
40,-20.46111111111111,57.33944444444444,99.9,1600
41,-20.205555555555556,57.665000000000006,99.9,1600
42,-20.336111111111112,57.77722222222222,100.2,1000
43,-20.491666666666667,57.51138888888888,100.5,1000
44,-20.172222222222224,57.4913888888889,100.5,1000
45,-20.311111111111114,57.53444444444444,100.8,10000
46,-20.336111111111112,57.77722222222222,101.2,1000
47,-20.46111111111111,57.33944444444444,101.7,1600
48,-20.205555555555556,57.665000000000006,101.7,1600
49,-20.344444444444445,57.45000000000001,102.0,4000
50,-20.491666666666667,57.51138888888888,102.4,1000
51,-20.172222222222224,57.4913888888889,102.4,1000
52,-20.336111111111112,57.77722222222222,102.7,1000
53,-20.311111111111114,57.53444444444444,103.2,10000
54,-20.491666666666667,57.51138888888888,103.5,1000
55,-20.172222222222224,57.4913888888889,103.5,1000
56,-20.344444444444445,57.45000000000001,103.9,4000
57,-20.311111111111114,57.53444444444444,104.4,10000
58,-20.491666666666667,57.51138888888888,104.8,1000
59,-20.172222222222224,57.4913888888889,104.8,1000
60,-20.336111111111112,57.77722222222222,105.3,1000
61,-20.46111111111111,57.33944444444444,105.7,1600
62,-20.205555555555556,57.665000000000006,105.7,1000
63,-20.491666666666667,57.51138888888888,106.0,1000
64,-20.172222222222224,57.4913888888889,106.0,1000
65,-20.46111111111111,57.33944444444444,106.5,1600
66,-20.205555555555556,57.665000000000006,106.5,1600
67,-20.336111111111112,57.77722222222222,106.8,1000
68,-20.46111111111111,57.33944444444444,107.3,1600
69,-20.205555555555556,57.665000000000006,107.3,1600
70,-20.336111111111112,57.77722222222222,107.7,1000
