,Latitude in degrees,Longitude in degrees,Frequency(MHz),EIRP
0,-19.611111111111107,34.74444444444444,87.6,1000
1,-14.947222222222221,37.416666666666664,87.6,1000
2,-19.072222222222226,33.3838888888889,87.7,1000
3,-25.944444444444443,32.56666666666668,87.8,1000
4,-24.97222222222222,33.54722222222223,87.8,500
5,-16.130555555555553,33.60777777777778,87.8,250
6,-26.850000000000005,32.885555555555555,87.8,0
7,-14.947222222222221,37.416666666666664,87.9,0
8,-23.09166666666667,34.38638888888888,88.0,0
9,-15.463888888888889,36.97861111111111,88.1,500
10,-13.266666666666667,35.261111111111106,88.2,1000
11,-25.944444444444443,32.56666666666668,88.2,1000
12,-17.877777777777776,36.866666666666674,88.2,250
13,-25.944444444444443,32.56666666666668,88.3,1000
14,-15.133333333333333,39.27777777777777,88.3,1000
15,-19.611111111111107,34.74444444444444,88.5,1000
16,-19.072222222222226,33.3838888888889,88.5,1000
17,-16.416666666666668,32.82555555555556,88.5,1000
18,-12.694444444444445,34.80888888888887,88.5,1000
19,-18.580555555555552,36.46166666666667,88.5,0
20,-14.958333333333334,40.65749999999999,88.5,0
21,-13.266666666666667,35.261111111111106,88.6,1000
22,-17.877777777777776,36.866666666666674,88.6,1000
23,-16.130555555555553,33.60777777777778,88.7,1000
24,-25.077777777777776,33.67777777777777,88.7,1000
25,-25.944444444444443,32.56666666666668,88.8,1000
26,-15.133333333333333,39.27777777777777,88.8,1000
27,-23.91944444444444,35.40444444444444,89.0,2000
28,-17.877777777777776,36.866666666666674,89.0,500
29,-24.911111111111108,32.75000000000001,89.0,0
30,-15.51666666666667,33.33333333333334,89.0,0
31,-24.71111111111111,34.74222222222222,89.0,0
32,-25.944444444444443,32.56666666666668,89.2,5000
33,-13.0,40.53333333333333,89.2,1000
34,-16.130555555555553,33.60777777777778,89.2,1000
35,-17.325000000000003,35.58111111111111,89.2,250
36,-20.45277777777778,32.771666666666654,89.2,0
37,-18.416666666666668,35.01944444444445,89.2,0
38,-16.111111111111107,35.766666666666666,89.2,0
39,-19.611111111111107,34.74444444444444,89.3,1000
40,-15.60277777777778,30.444166666666664,89.3,1000
41,-19.072222222222226,33.3838888888889,89.4,1000
42,-25.944444444444443,32.56666666666668,89.5,1000
43,-13.266666666666667,35.261111111111106,89.6,1000
44,-13.0,40.53333333333333,89.6,1000
45,-23.91944444444444,35.40444444444444,89.7,316
46,-23.330555555555556,35.38027777777777,89.9,1000
47,-16.144444444444442,38.375,89.9,500
48,-15.622222222222222,32.76833333333333,89.9,250
49,-18.683333333333334,34.09444444444444,89.9,0
50,-25.944444444444443,32.56666666666668,90.0,1000
51,-19.072222222222226,33.3838888888889,90.0,250
52,-13.266666666666667,35.261111111111106,90.0,250
53,-14.352777777777778,35.651388888888896,90.0,250
54,-15.133333333333333,39.27777777777777,90.0,250
55,-13.0,40.53333333333333,90.0,250
56,-16.130555555555553,33.60777777777778,90.0,250
57,-25.077777777777776,33.67777777777777,90.0,250
58,-16.227777777777778,39.90972222222223,90.0,0
59,-19.611111111111107,34.74444444444444,90.0,0
60,-16.841666666666665,36.98972222222223,90.0,0
61,-17.325000000000003,35.58111111111111,90.0,0
62,-26.850000000000005,32.885555555555555,90.0,0
63,-19.072222222222226,33.3838888888889,90.3,1000
64,-14.577777777777778,40.694444444444436,90.3,1000
65,-17.877777777777776,36.866666666666674,90.3,1000
66,-18.991666666666667,32.865277777777784,90.3,0
67,-13.0,40.53333333333333,90.4,1000
68,-15.133333333333333,39.27777777777777,90.5,1000
69,-17.325000000000003,35.58111111111111,90.5,500
70,-25.986111111111114,32.01555555555556,90.5,250
71,-16.116666666666667,33.735555555555564,90.6,1000
72,-25.944444444444443,32.56666666666668,90.7,1000
73,-13.0,40.53333333333333,90.7,1000
74,-16.130555555555553,33.60777777777778,90.7,1000
75,-15.133333333333333,39.27777777777777,90.8,1000
76,-24.97222222222222,33.54722222222223,90.9,1000
77,-13.086111111111112,35.64166666666667,90.9,500
78,-16.227777777777778,39.90972222222223,91.0,1000
79,-18.39444444444445,36.09666666666667,91.0,1000
80,-19.833333333333332,34.866666666666674,91.1,1000
81,-22.04444444444444,34.14444444444444,91.2,1000
82,-15.133333333333333,39.27777777777777,91.3,1000
83,-25.944444444444443,32.56666666666668,91.4,500
84,-17.163888888888884,34.88972222222222,91.5,1000
85,-13.869444444444447,37.16055555555556,91.6,1000
86,-16.841666666666665,36.98972222222223,91.6,500
87,-19.611111111111107,34.74444444444444,91.6,0
88,-16.841666666666665,36.98972222222223,91.7,500
89,-25.025000000000002,33.10805555555555,91.8,1000
90,-15.133333333333333,39.27777777777777,91.9,1000
91,-21.99722222222222,35.320277777777775,92.0,1000
92,-22.04444444444444,34.14444444444444,92.1,1000
93,-17.877777777777776,36.866666666666674,92.1,500
94,-12.972222222222225,39.855000000000004,92.2,250
95,-25.944444444444443,32.56666666666668,92.3,1000
96,-19.611111111111107,34.74444444444444,92.4,1000
97,-23.330555555555556,35.38027777777777,92.5,250
98,-14.911111111111108,40.33055555555556,92.6,1000
99,-26.850000000000005,32.885555555555555,92.6,0
100,-14.800000000000002,36.5336111111111,92.8,0
101,-19.833333333333332,34.866666666666674,92.9,1000
102,-15.622222222222222,32.76833333333333,93.0,1000
103,-17.877777777777776,36.866666666666674,93.0,500
104,-17.311111111111114,37.50555555555555,93.0,250
105,-25.944444444444443,32.56666666666668,93.1,1000
106,-19.611111111111107,34.74444444444444,93.3,1000
107,-17.43611111111111,35.07194444444444,93.4,1000
108,-14.577777777777778,40.694444444444436,93.4,1000
109,-25.944444444444443,32.56666666666668,93.5,500
110,-15.133333333333333,39.27777777777777,93.6,1000
111,-17.877777777777776,36.866666666666674,93.6,1000
112,-25.944444444444443,32.56666666666668,94.1,1000
113,-15.463888888888889,36.97861111111111,94.4,1000
114,-17.877777777777776,36.866666666666674,94.5,1000
115,-25.944444444444443,32.56666666666668,94.6,1000
116,-25.077777777777776,33.67777777777777,94.6,1000
117,-19.611111111111107,34.74444444444444,94.8,5000
118,-16.130555555555553,33.60777777777778,95.0,1000
119,-25.077777777777776,33.67777777777777,95.0,1000
120,-15.133333333333333,39.27777777777777,95.1,1000
121,-13.0,40.53333333333333,95.3,1000
122,-17.877777777777776,36.866666666666674,95.3,500
123,-25.944444444444443,32.56666666666668,95.5,1000
124,-15.60277777777778,30.444166666666664,95.6,1000
125,-13.266666666666667,35.261111111111106,95.9,1000
126,-17.827777777777776,35.33888888888889,95.9,500
127,-23.91944444444444,35.40444444444444,96.0,1000
128,-19.880555555555553,34.591388888888886,96.1,0
129,-17.877777777777776,36.866666666666674,96.2,1000
130,-25.944444444444443,32.56666666666668,96.3,1000
131,-14.902777777777779,33.608055555555566,96.4,0
132,-19.611111111111107,34.74444444444444,96.5,1000
133,-16.727777777777778,34.261111111111106,96.5,1000
134,-19.072222222222226,33.3838888888889,96.6,1000
135,-15.133333333333333,39.27777777777777,96.8,0
136,-25.050000000000004,32.79444444444444,96.9,1000
137,-25.944444444444443,32.56666666666668,97.1,1000
138,-13.0,40.53333333333333,97.2,1000
139,-16.130555555555553,33.60777777777778,97.2,1000
140,-15.133333333333333,39.27777777777777,97.3,1000
141,-25.944444444444443,32.56666666666668,97.4,1000
142,-13.125000000000002,39.0013888888889,97.4,250
143,-17.877777777777776,36.866666666666674,97.8,500
144,-25.944444444444443,32.56666666666668,97.9,1000
145,-18.683333333333334,34.09444444444444,98.0,0
146,-17.419444444444448,33.352500000000006,98.0,0
147,-15.805555555555554,31.75277777777778,98.0,0
148,-17.95,34.39166666666666,98.0,0
149,-19.611111111111107,34.74444444444444,98.1,1000
150,-23.91944444444444,35.40444444444444,98.1,1000
151,-16.841666666666665,36.98972222222223,98.1,500
152,-17.43611111111111,35.07194444444444,98.1,250
153,-16.130555555555553,33.60777777777778,98.3,1000
154,-15.18888888888889,35.86944444444445,98.3,0
155,-15.133333333333333,39.27777777777777,98.4,1000
156,-17.827777777777776,35.33888888888889,98.6,0
157,-15.633333333333335,37.686944444444435,98.7,0
158,-19.833333333333332,34.866666666666674,98.9,1000
159,-19.072222222222226,33.3838888888889,99.0,1000
160,-25.050000000000004,32.79444444444444,99.1,1000
161,-19.611111111111107,34.74444444444444,99.2,1000
162,-23.91944444444444,35.40444444444444,99.3,1000
163,-25.944444444444443,32.56666666666668,99.3,1000
164,-24.475,35.02444444444444,99.5,0
165,-13.0,40.53333333333333,99.5,0
166,-25.944444444444443,32.56666666666668,99.6,1650
167,-19.402777777777775,33.27499999999999,99.6,250
168,-14.941666666666668,38.32222222222222,99.8,250
169,-19.072222222222226,33.3838888888889,99.9,1000
170,-14.577777777777778,40.694444444444436,100.0,250
171,-25.944444444444443,32.56666666666668,100.2,1000
172,-23.65555555555555,35.33805555555556,100.2,1000
173,-16.227777777777778,39.90972222222223,100.4,250
174,-19.611111111111107,34.74444444444444,100.5,0
175,-25.944444444444443,32.56666666666668,100.6,1000
176,-18.580555555555552,36.46166666666667,100.6,250
177,-16.130555555555553,33.60777777777778,100.7,1000
178,-15.461111111111109,38.67722222222221,100.7,250
179,-23.858333333333338,35.315277777777766,100.8,2000
180,-18.991666666666667,32.865277777777784,100.8,500
181,-15.60277777777778,39.943333333333335,100.8,250
182,-24.97222222222222,33.54722222222223,100.9,1000
183,-25.944444444444443,32.56666666666668,100.9,1000
184,-16.116666666666667,33.735555555555564,101.1,2500
185,-18.06388888888889,33.17444444444445,101.2,250
