,Latitude in degrees,Longitude in degrees,Frequency(MHz),EIRP
0,38.5611111111111,125.79444444444444,89.2,10000
1,38.400000000000006,127.38333333333335,89.4,20000
2,39.19333333333333,126.06055555555555,89.5,10000
3,39.261111111111106,125.83333333333333,90.1,2000
4,37.958611111111104,126.55055555555556,90.3,0
5,38.90833333333333,125.93333333333334,90.3,0
6,38.95,125.56666666666668,91.1,190
7,38.90833333333333,125.93333333333334,91.9,0
8,37.958611111111104,126.55055555555556,92.5,0
9,37.90472222222222,126.15305555555555,92.8,10000
10,39.13055555555557,127.40527777777778,92.9,0
11,38.90833333333333,125.93333333333334,93.1,0
12,40.833333333333336,126.69444444444444,93.3,5000
13,38.90833333333333,125.93333333333334,93.3,0
14,37.958611111111104,126.55055555555556,93.6,10000
15,41.388888888888886,128.2083333333333,93.8,2000
16,38.90833333333333,125.93333333333334,94.5,0
17,39.13055555555557,127.40527777777778,95.1,5000
18,38.90833333333333,125.93333333333334,95.1,0
19,38.400000000000006,127.38333333333335,95.5,0
20,39.19333333333333,126.06055555555555,95.9,0
21,38.90833333333333,125.93333333333334,96.7,0
22,38.34305555555555,126.89694444444443,97.0,20000
23,37.958611111111104,126.55055555555556,97.3,0
24,38.90833333333333,125.93333333333334,97.3,0
25,39.19333333333333,126.06055555555555,97.7,0
26,38.06777777777778,125.73694444444445,97.8,100000
27,38.90833333333333,125.93333333333334,98.1,0
28,37.958611111111104,126.55055555555556,98.7,0
29,37.958611111111104,126.55055555555556,99.5,0
30,38.90833333333333,125.93333333333334,99.6,0
31,38.90833333333333,125.93333333333334,101.1,0
32,40.056111111111115,124.45333333333332,101.3,10000
33,38.90833333333333,125.93333333333334,101.8,0
34,40.93333333333334,128.76111111111106,102.1,1000
35,37.958611111111104,126.55055555555556,102.3,2000
36,38.5611111111111,125.79444444444444,103.0,2000
37,37.958611111111104,126.55055555555556,103.1,0
38,39.05,125.75861111111112,103.5,20000
39,38.06777777777778,125.73694444444445,103.7,100000
40,39.261111111111106,125.83333333333333,104.5,2000
41,39.05,125.75861111111112,105.2,20000
42,41.8111111111111,129.83333333333334,105.5,10000
43,39.96,127.54,106.0,20000
44,39.05,125.75861111111112,106.5,20000
45,38.82583333333333,126.09694444444445,106.5,2000
46,38.79444444444444,125.33333333333334,107.2,2000
47,38.90833333333333,125.93333333333334,107.7,0
