,Latitude in degrees,Longitude in degrees,Frequency(MHz),EIRP
0,9.0625,-79.45805555555557,50.016,5
1,7.647222222222221,-80.41500000000002,87.75,0
2,9.337222222222222,-79.77611111111109,87.75,0
3,8.5875,-80.10333333333332,87.75,0
4,8.807777777777776,-82.54027777777779,87.75,0
5,9.048055555555555,-79.51972222222221,88.1,9885
6,7.647222222222221,-80.41500000000002,88.3,6109
7,9.337222222222222,-79.77611111111109,88.3,1703
8,8.807777777777776,-82.54027777777779,88.5,2511
9,9.003611111111113,-79.53472222222221,88.5,1995
10,7.647222222222221,-80.41500000000002,88.7,5928
11,9.16111111111111,-79.4138888888889,88.9,18150
12,8.807777777777776,-82.54027777777779,88.9,2700
13,7.647222222222221,-80.41500000000002,89.1,6500
14,7.966666666666667,-80.43333333333335,89.1,0
15,9.048055555555555,-79.51972222222221,89.3,18794
16,8.807777777777776,-82.54027777777779,89.3,5900
17,7.647222222222221,-80.41500000000002,89.5,29697
18,9.304166666666667,-79.79277777777777,89.5,5517
19,9.356944444444444,-79.90444444444445,89.5,1753
20,9.163055555555555,-79.41694444444445,89.7,23658
21,8.807777777777776,-82.54027777777779,89.7,1463
22,7.647222222222221,-80.41500000000002,89.9,2208
23,9.337222222222222,-79.77611111111109,89.9,1678
24,9.16111111111111,-79.4138888888889,90.1,53958
25,9.376388888888888,-82.4672222222222,90.1,19141
26,8.17333333333333,-81.67361111111113,90.1,10024
27,8.679444444444444,-82.62694444444443,90.1,3573
28,8.776944444444444,-82.43444444444447,90.1,445
29,7.647222222222221,-80.41500000000002,90.3,3639
30,9.185,-79.41222222222223,90.5,11587
31,9.337222222222222,-79.77611111111109,90.5,3541
32,8.807777777777776,-82.54027777777779,90.5,1666
33,8.081388888888887,-80.91527777777779,90.7,12705
34,8.659999999999998,-78.15083333333334,90.7,6606
35,9.086388888888889,-79.55416666666667,90.9,20277
36,8.807777777777776,-82.54027777777779,90.9,14751
37,7.647222222222221,-80.41500000000002,91.1,4677
38,9.16111111111111,-79.4138888888889,91.3,12472
39,8.807777777777776,-82.54027777777779,91.3,1778
