,Latitude in degrees,Longitude in degrees,Frequency(MHz),EIRP
0,1.4127777777777775,16.317500000000003,88.0,0
1,-4.190555555555554,15.250277777777779,88.4,500
2,-4.733333333333334,11.86111111111111,88.7,5000
3,-4.291666666666667,15.258055555555558,89.0,0
4,-2.9455555555555555,12.715277777777775,89.1,0
5,1.6000000000000003,16.050000000000004,89.8,0
6,1.4127777777777775,16.317500000000003,90.0,0
7,-4.190555555555554,15.250277777777779,90.1,20000
8,-4.2,12.666666666666668,90.1,1580
9,-4.733333333333334,11.86111111111111,90.5,5000
10,-3.6777777777777776,13.344444444444441,91.2,1000
11,-4.190555555555554,15.250277777777779,92.3,0
12,-4.190555555555554,15.250277777777779,93.2,5000
13,-4.733333333333334,11.86111111111111,93.2,0
14,-4.2,12.666666666666668,93.3,0
15,-4.190555555555554,15.250277777777779,93.5,1000
16,-4.733333333333334,11.86111111111111,93.6,5000
17,-2.8666666666666667,14.761111111111108,94.0,1580
18,-4.190555555555554,15.250277777777779,94.5,5000
19,-4.2,12.666666666666668,94.6,500
20,-4.733333333333334,11.86111111111111,95.0,5000
21,0.0,15.345833333333333,95.0,500
22,-4.733333333333334,11.86111111111111,96.0,0
23,-4.190555555555554,15.250277777777779,96.4,20000
24,-4.733333333333334,11.86111111111111,97.1,5000
25,-4.291666666666667,15.258055555555558,97.4,1000
26,-4.733333333333334,11.86111111111111,97.7,0
27,-4.190555555555554,15.250277777777779,98.0,0
28,1.6380555555555554,18.077777777777776,98.2,0
29,1.6000000000000003,16.050000000000004,98.2,0
30,-4.733333333333334,11.86111111111111,98.3,5000
31,-4.733333333333334,11.86111111111111,98.9,1000
32,-4.2,12.666666666666668,99.2,1000
33,-4.190555555555554,15.250277777777779,99.3,5000
34,-4.190555555555554,15.250277777777779,100.3,5000
35,-4.190555555555554,15.250277777777779,100.7,0
36,-4.291666666666667,15.258055555555558,101.9,0
37,-4.733333333333334,11.86111111111111,102.2,0
38,-1.9500000000000002,15.877777777777776,104.0,0
39,-4.190555555555554,15.250277777777779,104.3,5000
40,-4.733333333333334,11.86111111111111,105.0,0
41,-4.291666666666667,15.258055555555558,105.8,1000
42,-4.190555555555554,15.250277777777779,106.1,0
43,-2.618888888888889,16.21472222222222,999.9,1000
44,-4.271944444444445,15.289444444444445,999.9,0
45,-4.2,12.666666666666668,999.9,0
46,0.05,14.833333333333334,999.9,0
47,-1.4658333333333333,15.078888888888887,999.9,0
48,-3.6777777777777776,13.344444444444441,999.9,0
49,-2.8666666666666667,13.833333333333334,999.9,0
