,Latitude in degrees,Longitude in degrees,Frequency(MHz),EIRP
0,-4.6205555555555575,55.441111111111105,87.6,1000
1,-4.746944444444443,55.47166666666666,87.9,1000
2,-4.308055555555556,55.73722222222223,88.0,1000
3,-4.621388888888888,55.40333333333333,88.3,1000
4,-4.794444444444443,55.51472222222223,88.4,1000
5,-4.585,55.45416666666668,88.7,1000
6,-4.563611111111111,55.43916666666665,89.0,1000
7,-4.669722222222221,55.42833333333332,89.2,1000
8,-4.3516666666666675,55.76611111111112,89.4,1000
9,-4.585,55.45416666666668,89.8,1000
10,-4.746944444444443,55.47166666666666,90.0,2000
11,-4.7330555555555565,55.52666666666667,90.4,1000
12,-4.731388888888889,55.520277777777785,90.4,500
13,-4.6205555555555575,55.441111111111105,90.7,2000
14,-4.308055555555556,55.73722222222223,91.1,1000
15,-4.669722222222221,55.42833333333332,91.2,1000
16,-4.621388888888888,55.40333333333333,91.4,1000
17,-4.7330555555555565,55.52666666666667,91.5,1000
18,-4.585,55.45416666666668,91.8,1000
19,-4.562777777777778,55.43388888888888,92.1,2000
20,-4.563611111111111,55.43916666666665,92.1,1000
21,-4.3516666666666675,55.76611111111112,92.5,1000
22,-4.746944444444443,55.47166666666666,92.6,1000
23,-4.7330555555555565,55.52666666666667,93.0,1000
24,-4.731388888888889,55.520277777777785,93.0,500
25,-4.6205555555555575,55.441111111111105,93.6,1000
26,-4.746944444444443,55.47166666666666,94.2,1000
27,-4.308055555555556,55.73722222222223,94.3,1000
28,-4.621388888888888,55.40333333333333,94.6,1000
29,-4.794444444444443,55.51472222222223,94.8,1000
30,-4.585,55.45416666666668,95.0,1000
31,-4.563611111111111,55.43916666666665,95.3,1000
32,-4.669722222222221,55.42833333333332,95.5,1000
33,-4.3516666666666675,55.76611111111112,95.7,2000
34,-4.308055555555556,55.73722222222223,96.2,1000
35,-4.563611111111111,55.43916666666665,96.5,1000
36,-4.7330555555555565,55.52666666666667,96.8,1000
37,-4.731388888888889,55.520277777777785,96.8,500
38,-4.6205555555555575,55.441111111111105,97.2,1000
39,-4.308055555555556,55.73722222222223,97.6,1000
40,-4.746944444444443,55.47166666666666,97.7,1000
41,-4.794444444444443,55.51472222222223,98.2,1000
42,-4.585,55.45416666666668,98.3,1000
43,-4.563611111111111,55.43916666666665,98.6,1000
44,-4.669722222222221,55.42833333333332,98.8,1000
45,-4.3516666666666675,55.76611111111112,99.0,1000
46,-4.6205555555555575,55.441111111111105,99.4,1000
47,-4.621388888888888,55.40333333333333,99.8,1000
48,-4.7330555555555565,55.52666666666667,100.1,1000
49,-4.731388888888889,55.520277777777785,100.1,500
50,-4.794444444444443,55.51472222222223,100.5,1000
51,-4.3516666666666675,55.76611111111112,100.8,1000
52,-4.621388888888888,55.40333333333333,101.4,1000
53,-4.794444444444443,55.51472222222223,101.5,1000
54,-4.585,55.45416666666668,101.8,1000
55,-4.563611111111111,55.43916666666665,102.1,1000
56,-4.669722222222221,55.42833333333332,102.3,1000
57,-4.746944444444443,55.47166666666666,102.8,1000
58,-4.308055555555556,55.73722222222223,102.9,1000
59,-4.731388888888889,55.520277777777785,103.2,500
60,-4.731666666666666,55.520277777777785,103.2,0
61,-4.669722222222221,55.42833333333332,103.5,1000
62,-4.6205555555555575,55.441111111111105,103.8,1000
63,-4.7330555555555565,55.52666666666667,104.0,1000
64,-4.731388888888889,55.520277777777785,104.0,500
65,-4.585,55.45416666666668,104.2,1000
66,-4.308055555555556,55.73722222222223,104.7,1000
67,-4.621388888888888,55.40333333333333,105.0,1000
68,-4.746944444444443,55.47166666666666,105.2,1000
69,-4.7330555555555565,55.52666666666667,105.6,1000
70,-4.731388888888889,55.520277777777785,105.6,500
71,-4.563611111111111,55.43916666666665,105.7,1000
72,-4.669722222222221,55.42833333333332,106.1,1000
73,-4.6205555555555575,55.441111111111105,106.2,1000
74,-4.3516666666666675,55.76611111111112,106.6,1000
75,-4.794444444444443,55.51472222222223,106.9,1000
76,-4.3516666666666675,55.76611111111112,107.4,1000
