,Latitude in degrees,Longitude in degrees,Frequency(MHz),EIRP
0,13.270555555555557,-61.20805555555556,50.008,0
1,13.15722222222222,-61.21416666666668,88.1,0
2,13.00472222222222,-61.23166666666666,88.3,0
3,13.24972222222222,-61.24944444444445,88.5,0
4,13.155555555555557,-61.180277777777775,88.5,0
5,13.216666666666669,-61.14444444444444,88.9,0
6,13.177777777777777,-61.16666666666667,89.1,0
7,13.15472222222222,-61.21305555555555,89.7,200
8,13.262777777777778,-61.11944444444444,89.7,0
9,13.15472222222222,-61.21305555555555,90.3,0
10,13.23,-61.12527777777777,90.5,0
11,13.00472222222222,-61.23166666666666,90.7,1000
12,13.24972222222222,-61.24944444444445,90.7,0
13,13.380555555555555,-61.164166666666674,90.7,0
14,13.24972222222222,-61.24944444444445,91.1,0
15,13.206388888888887,-61.16694444444443,91.1,0
16,13.24972222222222,-61.24944444444445,91.5,0
17,13.00472222222222,-61.23166666666666,91.5,0
18,13.380555555555555,-61.164166666666674,91.5,0
19,13.206388888888887,-61.16694444444443,91.5,0
20,13.262777777777778,-61.11944444444444,92.5,0
21,13.273333333333333,-61.242777777777775,92.5,0
22,13.262777777777778,-61.11944444444444,93.1,0
23,13.246111111111112,-61.275277777777774,94.1,0
24,13.262777777777778,-61.11944444444444,94.1,0
25,13.151111111111113,-61.21583333333334,95.7,2000
26,13.262777777777778,-61.11944444444444,95.7,0
27,13.24972222222222,-61.24944444444445,96.7,0
28,13.155555555555557,-61.180277777777775,96.7,0
29,13.15777777777778,-61.24083333333333,96.7,0
30,13.19027777777778,-61.21777777777778,97.1,0
31,13.19027777777778,-61.21777777777778,98.3,0
32,13.15472222222222,-61.21305555555555,99.1,0
33,13.19027777777778,-61.21777777777778,99.9,0
34,13.15722222222222,-61.21416666666668,100.5,0
35,13.262777777777778,-61.11944444444444,101.3,0
36,13.199444444444445,-61.27,101.3,0
37,13.262777777777778,-61.11944444444444,102.7,0
38,13.15472222222222,-61.21305555555555,102.7,0
39,13.15472222222222,-61.21305555555555,103.7,0
40,13.3675,-61.133611111111115,103.7,0
41,13.19027777777778,-61.21777777777778,104.3,0
42,13.262777777777778,-61.11944444444444,104.7,0
43,13.273333333333333,-61.242777777777775,104.7,0
44,13.15472222222222,-61.21305555555555,105.7,2000
45,13.19027777777778,-61.21777777777778,106.9,0
46,12.599166666666669,-61.42666666666666,107.5,1500
47,13.15472222222222,-61.21305555555555,107.5,0
48,13.3675,-61.133611111111115,107.5,0
