,Latitude in degrees,Longitude in degrees,Frequency(MHz),EIRP
0,-21.14444444444444,-175.2,87.5,0
1,-18.65,-173.98333333333332,87.9,500
2,-15.947222222222221,-173.78138888888893,88.0,100
3,-21.13888888888889,-175.2083333333333,88.1,0
4,-18.65,-173.98333333333332,88.6,100
5,-21.13888888888889,-175.2083333333333,88.6,0
6,-21.13888888888889,-175.2083333333333,89.1,0
7,-18.65,-173.98333333333332,89.3,0
8,-19.827777777777776,-174.35000000000002,89.5,100
9,-21.13888888888889,-175.2083333333333,89.5,100
10,-18.65,-173.98333333333332,90.0,100
11,-21.13888888888889,-175.2083333333333,90.0,100
12,-21.13888888888889,-175.2083333333333,92.1,0
13,-21.13888888888889,-175.2083333333333,93.1,200
14,-18.65,-173.98333333333332,97.2,100
15,-21.13888888888889,-175.2083333333333,98.0,100
16,-21.13888888888889,-175.2083333333333,101.7,500
17,-21.13888888888889,-175.2083333333333,103.0,0
