,Latitude in degrees,Longitude in degrees,Frequency(MHz),EIRP
1,10.697500000000002,-61.53861111111111,87.75,0
2,11.178055555555558,-60.72666666666667,89.5,0
3,10.280833333333335,-61.45833333333334,90.1,0
4,10.697500000000002,-61.53861111111111,90.5,0
5,10.697500000000002,-61.53861111111111,91.1,20000
6,10.661111111111111,-61.525000000000006,91.5,0
7,10.700555555555553,-61.504166666666656,91.9,0
8,10.663888888888888,-61.398888888888884,92.3,0
9,11.1975,-60.718333333333334,92.7,0
10,11.1975,-60.718333333333334,93.1,0
11,10.697500000000002,-61.53861111111111,93.5,10000
12,10.393055555555554,-61.362222222222215,93.5,1000
13,10.674444444444442,-61.488888888888894,94.1,10000
14,11.329444444444443,-60.53972222222222,94.7,0
15,10.697500000000002,-61.53861111111111,94.7,0
16,11.178055555555558,-60.72666666666667,94.7,0
17,10.697500000000002,-61.53861111111111,95.1,100000
18,10.393055555555554,-61.362222222222215,95.5,0
19,10.697500000000002,-61.53861111111111,95.5,0
20,11.1975,-60.718333333333334,95.5,0
21,10.697500000000002,-61.53861111111111,96.1,0
22,10.393055555555554,-61.362222222222215,96.7,0
23,10.697500000000002,-61.53861111111111,96.7,0
24,10.697500000000002,-61.53861111111111,97.1,10000
25,10.393055555555554,-61.362222222222215,97.5,0
26,10.746111111111109,-61.56388888888889,97.5,0
27,11.178055555555558,-60.72666666666667,97.5,0
28,10.697500000000002,-61.53861111111111,98.1,0
29,11.178055555555558,-60.72666666666667,98.1,0
30,10.697500000000002,-61.53861111111111,98.7,0
31,11.178055555555558,-60.72666666666667,98.7,0
32,10.697500000000002,-61.53861111111111,99.1,20000
33,10.697500000000002,-61.53861111111111,99.5,0
34,10.327777777777778,-61.416666666666664,99.5,0
35,11.1975,-60.718333333333334,99.5,0
36,10.697500000000002,-61.53861111111111,100.1,20000
37,10.697500000000002,-61.53861111111111,100.5,0
38,10.327777777777778,-61.416666666666664,101.7,0
39,10.393055555555554,-61.362222222222215,102.3,0
40,10.393055555555554,-61.362222222222215,102.7,0
41,10.393055555555554,-61.362222222222215,103.1,0
42,10.697500000000002,-61.53861111111111,103.5,0
43,10.697500000000002,-61.53861111111111,104.1,0
44,10.393055555555554,-61.362222222222215,104.7,0
45,10.746111111111109,-61.56388888888889,104.7,0
46,11.178055555555558,-60.72666666666667,104.7,0
47,10.697500000000002,-61.53861111111111,105.1,2500
48,10.697500000000002,-61.53861111111111,105.5,0
49,10.393055555555554,-61.362222222222215,106.1,0
50,10.697500000000002,-61.53861111111111,106.5,10000
51,10.816666666666666,-60.95,106.7,0
52,11.329444444444443,-60.53972222222222,107.1,0
53,10.743888888888886,-61.513333333333335,107.1,0
54,11.178055555555558,-60.72666666666667,107.1,0
55,10.393055555555554,-61.362222222222215,107.7,10000
