,Latitude in degrees,Longitude in degrees,Frequency(MHz),EIRP
0,25.679166666666664,55.83166666666666,87.6,0
1,24.170555555555563,52.59527777777779,87.7,5000
2,25.031666666666666,55.12583333333334,87.9,32000
3,25.136388888888888,55.205000000000005,88.2,1000
4,24.332499999999996,54.595,88.4,4000
5,25.8225,55.969166666666666,88.5,10000
6,25.266666666666666,55.32777777777777,88.5,0
7,24.074444444444442,55.7725,88.6,1000
8,25.21777777777778,55.283055555555556,88.8,5000
9,23.77444444444445,53.55527777777777,88.8,5000
10,24.46111111111111,54.39444444444444,88.8,4000
11,25.61666666666667,56.28333333333334,88.8,500
12,25.411111111111108,55.460555555555565,89.1,1000
13,23.12805555555556,53.79749999999999,89.3,5000
14,25.366944444444442,56.34472222222222,89.3,160
15,25.266666666666666,55.32777777777777,89.4,0
16,25.16611111111111,56.17611111111111,89.5,500
17,25.8225,55.969166666666666,89.7,10000
18,24.227777777777778,54.41499999999999,89.7,5000
19,24.074444444444442,55.7725,89.7,4000
21,24.332499999999996,54.595,90.0,2000
22,25.76666666666667,55.95,90.3,2000
23,24.332499999999996,54.595,90.3,1000
24,25.136388888888888,55.205000000000005,90.5,1000
25,25.16611111111111,56.17611111111111,90.7,500
26,25.411111111111108,55.460555555555565,90.8,1000
27,24.46111111111111,54.39444444444444,90.8,0
28,25.266666666666666,55.32777777777777,91.1,500
29,24.170555555555563,52.59527777777779,91.2,5000
30,25.227222222222224,55.28861111111111,91.4,0
31,24.332499999999996,54.595,91.6,1000
32,25.21777777777778,55.283055555555556,92.0,5000
33,25.8225,55.969166666666666,92.2,5000
34,24.170555555555563,52.59527777777779,92.4,5000
35,24.332499999999996,54.595,92.4,1000
36,25.16611111111111,56.17611111111111,92.6,2000
37,25.21777777777778,55.283055555555556,93.0,5000
38,25.266666666666666,55.32777777777777,93.4,500
39,24.074444444444442,55.7725,93.5,4000
40,24.332499999999996,54.595,93.5,1000
41,25.21777777777778,55.283055555555556,93.9,5000
42,24.332499999999996,54.595,94.4,10000
43,25.335000000000004,55.35916666666666,94.4,1000
44,25.8225,55.969166666666666,94.7,32000
45,24.074444444444442,55.7725,94.9,10000
46,25.353055555555553,55.42666666666666,95.0,10000
47,25.8225,55.969166666666666,95.3,200000
48,25.21777777777778,55.283055555555556,95.3,5000
49,23.12805555555556,53.79749999999999,95.6,5000
50,24.074444444444442,55.7725,95.6,4000
51,25.16611111111111,56.17611111111111,95.6,500
52,25.266666666666666,55.32777777777777,95.6,0
53,25.613888888888887,55.72583333333334,95.6,0
54,24.332499999999996,54.595,95.8,2000
55,25.26111111111111,55.28333333333334,96.1,0
56,25.16611111111111,56.17611111111111,96.2,500
57,24.332499999999996,54.595,96.3,1000
58,25.266666666666666,55.32777777777777,96.3,0
59,25.21777777777778,55.283055555555556,96.7,5000
60,25.21777777777778,55.283055555555556,97.1,5000
61,24.170555555555563,52.59527777777779,97.3,5000
62,24.074444444444442,55.7725,97.3,4000
63,24.332499999999996,54.595,97.3,1000
64,25.16611111111111,56.17611111111111,97.6,10000
65,25.613888888888887,55.72583333333334,97.8,1000
66,25.266666666666666,55.32777777777777,97.8,0
67,24.332499999999996,54.595,98.1,2000
68,23.77444444444445,53.55527777777777,98.4,5000
69,25.136388888888888,55.205000000000005,98.4,1000
70,25.16611111111111,56.17611111111111,98.4,0
71,25.051944444444445,56.20777777777778,98.4,0
73,24.332499999999996,54.595,98.7,100000
74,25.366944444444442,56.34472222222222,98.7,500
75,25.21777777777778,55.283055555555556,99.0,10000
76,25.031666666666666,55.12583333333334,99.3,32000
77,25.366944444444442,56.34472222222222,99.6,500
78,25.266666666666666,55.32777777777777,99.6,0
80,25.21777777777778,55.283055555555556,99.9,5000
81,23.77444444444445,53.55527777777777,100.1,5000
82,24.074444444444442,55.7725,100.1,4000
83,25.613888888888887,55.72583333333334,100.3,1000
84,24.332499999999996,54.595,100.5,20000
85,25.21777777777778,55.283055555555556,100.9,5000
86,25.411111111111108,55.460555555555565,101.3,1000
87,25.21777777777778,55.283055555555556,101.6,5000
88,25.8225,55.969166666666666,101.8,8000
89,24.074444444444442,55.7725,101.9,4000
90,25.136388888888888,55.205000000000005,102.0,1000
91,25.16666666666667,55.31111111111111,102.0,1000
92,25.266666666666666,55.32777777777777,102.4,0
93,24.170555555555563,52.59527777777779,102.6,1000
94,25.335000000000004,55.35916666666666,102.7,1000
95,25.366944444444442,56.34472222222222,102.8,0
96,24.074444444444442,55.7725,102.9,4000
98,25.411111111111108,55.460555555555565,103.2,0
100,25.679166666666664,55.83166666666666,103.5,20000
101,25.16611111111111,56.17611111111111,103.6,0
102,23.12805555555556,53.79749999999999,103.7,5000
103,25.21777777777778,55.283055555555556,103.8,5000
104,25.16611111111111,56.17611111111111,103.9,0
105,25.031666666666666,55.12583333333334,104.1,32000
106,25.304166666666667,56.16777777777778,104.1,50
107,25.21777777777778,55.283055555555556,104.4,5000
108,24.416111111111107,54.4536111111111,104.6,0
109,25.411111111111108,55.460555555555565,104.8,1000
110,25.8225,55.969166666666666,105.2,10000
111,24.074444444444442,55.7725,105.2,4000
112,24.332499999999996,54.595,105.2,1000
113,25.16611111111111,56.17611111111111,105.4,1000
114,25.26111111111111,55.28333333333334,105.4,0
115,24.332499999999996,54.595,106.0,1000
116,25.16611111111111,56.17611111111111,106.0,0
117,25.613888888888887,55.72583333333334,106.2,1000
118,25.266666666666666,55.32777777777777,106.2,0
