,Latitude in degrees,Longitude in degrees,Frequency(MHz),EIRP
0,17.75583333333334,-64.79888888888888,89.9,1400
1,17.735277777777778,-64.67944444444446,90.7,10000
2,17.747500000000002,-64.83638888888886,91.9,7400
3,18.35694444444444,-64.96749999999999,92.7,10
4,18.357777777777784,-64.94805555555554,93.1,1300
5,17.73138888888889,-64.68805555555555,93.5,9600
6,17.735277777777778,-64.67944444444446,95.1,15000
7,18.359722222222224,-64.97194444444446,95.3,0
8,18.35916666666667,-64.97166666666668,96.1,2400
9,18.329722222222223,-64.91055555555558,96.9,1
10,18.342499999999994,-64.9722222222222,97.3,100
11,18.356666666666666,-64.9663888888889,97.9,29000
12,17.747500000000002,-64.83638888888886,98.3,1900
13,17.735277777777778,-64.67944444444446,99.5,32000
14,17.75555555555556,-64.7986111111111,100.3,50000
15,17.747500000000002,-64.83638888888886,101.3,4600
16,18.35694444444444,-64.96694444444445,102.1,1750
17,17.74861111111111,-64.72833333333335,103.1,170
18,17.724444444444444,-64.88416666666666,103.5,6000
19,18.359722222222224,-64.97194444444446,104.3,44000
20,17.735555555555553,-64.67972222222224,104.9,15000
21,18.35916666666667,-64.97166666666668,105.3,30200
22,18.356666666666666,-64.9663888888889,107.3,1650
23,17.75583333333334,-64.79888888888888,107.9,3600
24,17.745277777777773,-64.83527777777776,162.5,1000
