,Latitude in degrees,Longitude in degrees,Frequency(MHz),EIRP
0,-14.322222222222223,-170.76305555555555,88.1,1500
1,-14.269444444444444,-170.68611111111113,88.9,960
2,-14.269444444444444,-170.68611111111113,89.7,1500
3,-14.327777777777778,-170.76416666666663,90.5,750
4,-14.322222222222223,-170.76305555555555,91.3,1500
5,-14.294444444444443,-170.6622222222222,92.1,15000
6,-14.269444444444444,-170.68611111111113,93.1,1100
7,-14.322222222222223,-170.76305555555555,93.7,10
8,-14.330555555555556,-170.73305555555558,94.5,100
9,-14.347222222222223,-170.74499999999998,95.1,100
10,-14.327777777777778,-170.76749999999998,97.1,11
11,-14.258333333333335,-170.68861111111113,99.1,11
12,-14.255555555555553,-170.56388888888893,102.5,23
13,-14.322222222222223,-170.76305555555555,103.1,1300
14,-14.322222222222223,-170.76305555555555,104.7,280
15,-14.330555555555556,-170.7138888888889,162.4,300
16,-14.322222222222223,-170.76305555555555,162.55,300
