,Latitude in degrees,Longitude in degrees,Frequency(MHz),EIRP
0,18.479166666666668,-70.04166666666666,50.008,5
1,18.401944444444442,-70.20611111111113,88.1,20000
2,18.46666666666667,-70.65,88.1,0
3,18.700000000000003,-68.46666666666667,88.1,0
4,18.311111111111114,-70.33333333333334,88.1,0
5,18.76666666666667,-69.25000000000001,88.1,0
6,18.66055555555555,-68.67611111111113,88.1,0
7,18.451111111111107,-69.00805555555554,88.1,0
8,19.49444444444444,-70.4888888888889,88.1,0
9,18.167500000000004,-71.28083333333332,88.1,0
10,19.383333333333333,-69.87777777777777,88.1,0
11,18.050000000000004,-71.74444444444444,88.1,0
12,18.57777777777778,-70.5111111111111,88.1,0
13,18.76055555555556,-71.07611111111112,88.1,0
14,18.49444444444444,-69.30000000000001,88.1,0
15,19.233333333333334,-69.30000000000001,88.1,0
16,18.227777777777774,-71.1,88.1,0
17,18.76666666666667,-69.01666666666668,88.1,0
18,19.46666666666667,-70.7,88.1,0
19,18.46666666666667,-69.90000000000002,88.1,0
20,18.416666666666668,-70.09444444444443,88.3,0
21,19.46666666666667,-70.7,88.5,5000
22,18.46666666666667,-69.93333333333334,88.5,5000
23,19.233333333333334,-69.30000000000001,88.5,1000
24,19.233333333333334,-69.30000000000001,88.5,0
25,18.95,-70.4111111111111,88.7,3000
26,18.644444444444442,-68.69444444444444,88.7,1000
27,19.46666666666667,-71.33333333333334,88.7,1000
28,19.827777777777776,-71.05,88.7,1000
29,18.759722222222216,-71.07638888888887,88.7,500
30,18.561111111111106,-69.98333333333335,88.7,0
31,18.46666666666667,-69.93333333333334,88.9,10000
32,19.46666666666667,-70.7,88.9,3000
33,18.76666666666667,-69.25000000000001,89.1,5000
34,18.46666666666667,-70.65,89.1,1500
35,18.050000000000004,-71.74444444444444,89.1,1500
36,19.383333333333333,-69.87777777777777,89.1,1000
37,19.233333333333334,-70.5111111111111,89.1,0
38,18.46666666666667,-69.93333333333334,89.3,5000
39,19.76111111111111,-70.83333333333333,89.3,1500
