,Latitude in degrees,Longitude in degrees,Frequency(MHz),EIRP
0,-6.187500000000001,106.82333333333334,87.6,100
1,1.1494444444444447,104.02472222222222,87.6,0
2,-6.727777777777777,108.56666666666668,87.6,0
3,3.55,98.87777777777777,87.6,0
4,0.8666666666666667,99.56666666666668,87.6,0
5,0.55,101.43333333333335,87.6,0
6,-7.333333333333334,108.22777777777777,87.6,0
7,-5.424722222222224,105.2736111111111,87.7,0
8,-6.927777777777777,107.6111111111111,87.7,0
9,-3.333333333333334,114.59444444444442,87.7,0
10,-5.161111111111111,119.41666666666667,87.7,0
11,-7.250000000000001,112.74444444444444,87.7,0
12,5.547777777777777,95.31194444444442,87.8,0
13,-6.594444444444443,106.80000000000001,87.8,0
14,-8.727777777777776,115.19444444444444,87.8,0
15,-6.966666666666667,110.41666666666667,87.8,0
16,-6.333333333333334,108.32777777777777,87.9,0
17,-6.466666666666668,108.30000000000001,87.9,0
18,-8.177777777777777,113.7,87.9,0
19,-7.9944444444444445,112.64444444444443,87.9,0
20,-1.9166666666666665,116.20000000000002,87.9,0
21,-7.800000000000001,110.37777777777777,87.9,0
22,1.1333333333333335,104.05,88.0,0
23,-6.19361111111111,106.82333333333334,88.0,0
24,-6.800000000000001,110.83333333333333,88.0,0
25,-8.594444444444443,116.14444444444443,88.0,0
26,3.583333333333334,98.69444444444444,88.0,0
27,-7.444444444444444,111.01666666666668,88.0,0
28,0.9044444444444443,104.46333333333334,88.0,0
29,-5.644444444444445,132.76111111111106,88.0,0
30,-7.250000000000001,112.74444444444444,88.1,10000
31,-6.927777777777777,107.6111111111111,88.1,0
32,-3.333333333333334,114.59444444444442,88.1,0
33,-8.216666666666669,114.37777777777777,88.1,0
34,-7.816666666666667,112.01666666666668,88.1,0
35,1.4783333333333335,102.10083333333333,88.2,0
36,-5.1386111111111115,119.40944444444443,88.2,0
37,-6.966666666666667,110.41666666666667,88.2,0
38,-6.116666666666667,106.15000000000002,88.2,0
39,-7.750000000000001,110.41666666666667,88.3,0
40,-5.483333333333333,105.0,88.3,0
41,-5.2,105.71666666666668,88.3,0
42,-8.100000000000001,112.17777777777776,88.4,0
43,-8.100000000000001,112.17777777777776,88.4,0
44,-6.184444444444446,106.79111111111112,88.4,0
45,-8.594444444444443,116.14444444444443,88.4,0
46,3.583333333333334,98.69444444444444,88.4,0
47,-0.8852777777777775,100.40555555555558,88.4,0
48,-2.963055555555556,104.73861111111113,88.4,0
49,0.5222222222222223,101.44666666666666,88.4,0
50,-0.016666666666666666,109.33333333333334,88.4,0
51,-7.333333333333334,110.5111111111111,88.4,0
52,-1.6058333333333337,103.58416666666668,88.5,5000
53,5.547777777777777,95.31194444444442,88.5,0
54,-5.416666666666667,105.27777777777777,88.5,0
55,-6.927777777777777,107.6111111111111,88.5,0
56,-3.333333333333334,114.59444444444442,88.5,0
57,-7.527777777777777,110.6111111111111,88.5,0
58,-1.85,109.98333333333335,88.5,0
59,0.13333333333333333,100.17777777777776,88.5,0
60,-5.161111111111111,119.41666666666667,88.5,0
61,-0.5,117.15000000000002,88.5,0
62,-7.250000000000001,112.74444444444444,88.5,0
63,-6.594444444444443,106.80000000000001,88.6,0
64,-6.727777777777777,108.56666666666668,88.6,0
65,-8.650000000000002,115.22777777777777,88.6,0
66,-6.966666666666667,110.41666666666667,88.6,0
67,0.9044444444444443,104.46333333333334,88.6,0
68,-7.9944444444444445,112.64444444444443,88.7,5000
69,-1.2777777777777777,116.83333333333333,88.7,0
70,-8.632222222222223,122.22444444444446,88.7,0
71,-7.800000000000001,110.37777777777777,88.7,0
72,1.6777777777777774,101.46111111111111,88.8,0
73,-6.257222222222222,106.76972222222223,88.8,0
74,4.140833333333334,117.65750000000001,88.8,0
75,-0.6333333333333333,100.14444444444443,88.8,0
76,-8.61111111111111,120.46111111111111,88.8,0
77,-9.85861111111111,124.2886111111111,88.8,0
78,-7.444444444444444,111.01666666666668,88.8,0
79,-6.927777777777777,107.6111111111111,88.9,0
80,-8.216666666666669,114.37777777777777,88.9,0
81,-6.883333333333334,109.66666666666669,88.9,0
82,-9.650000000000002,120.27777777777777,88.9,0
83,-7.250000000000001,112.74444444444444,88.9,0
84,3.2583333333333333,97.17916666666667,88.9,0
85,-8.06111111111111,111.71666666666668,88.9,0
86,-6.991666666666667,110.42750000000001,89.0,10000
87,-8.783333333333335,120.97777777777777,89.0,0
88,-2.927777777777777,132.30000000000004,89.0,0
89,-6.177777777777777,106.83333333333333,89.0,0
90,-7.06,113.4111111111111,89.1,0
91,-7.6833333333333345,110.33333333333334,89.1,0
92,-2.211666666666667,113.9138888888889,89.2,2500
93,-2.1277777777777773,133.54444444444445,89.2,0
94,-6.727777777777777,108.56666666666668,89.2,0
95,-6.177777777777777,106.83333333333333,89.2,0
96,-6.194444444444445,106.86861111111112,89.2,0
97,-8.51666666666667,119.88333333333334,89.2,0
98,-8.594444444444443,116.14444444444443,89.2,0
99,3.583333333333334,98.69444444444444,89.2,0
100,-2.9944444444444445,104.75000000000001,89.2,0
101,-6.750000000000001,111.04444444444444,89.2,0
102,0.55,101.43333333333335,89.2,0
103,0.7833333333333333,127.38333333333335,89.2,0
104,-5.416666666666667,105.27777777777777,89.3,0
105,-6.927777777777777,107.6111111111111,89.3,0
106,-3.333333333333334,114.59444444444442,89.3,0
107,5.1833333333333345,97.15000000000002,89.3,0
108,-5.161111111111111,119.41666666666667,89.3,0
109,-6.9,109.38333333333335,89.3,0
110,-8.500000000000002,117.43333333333335,89.3,0
111,-7.250000000000001,112.74444444444444,89.3,0
112,-6.594444444444443,106.80000000000001,89.4,0
113,-8.650000000000002,115.22777777777777,89.4,0
114,-8.533333333333333,118.46666666666667,89.4,0
115,2.961111111111111,99.06666666666668,89.4,0
116,-6.966666666666667,110.41666666666667,89.4,0
117,-8.040555555555557,111.84499999999998,89.5,5000
118,-1.2777777777777777,116.83333333333333,89.5,0
119,-7.883333333333334,110.33333333333334,89.5,0
120,-6.333333333333334,108.32777777777777,89.5,0
121,-8.177777777777777,113.7,89.5,0
122,-7.9944444444444445,112.64444444444443,89.5,0
123,-6.187500000000001,106.82333333333334,89.6,0
124,-6.594444444444443,110.66666666666669,89.6,0
