,Latitude in degrees,Longitude in degrees,Frequency(MHz),EIRP
0,26.935833333333335,54.38611111111111,87.6,96000
1,36.92138888888888,46.11305555555556,87.6,80000
2,30.187777777777775,48.43444444444443,87.6,40000
4,39.187222222222225,47.08055555555556,87.6,12000
5,35.12027777777778,52.3736111111111,87.6,8000
6,36.8036111111111,48.870000000000005,87.6,8000
7,36.780833333333334,55.147499999999994,87.6,1810
8,33.958333333333336,46.36611111111112,87.6,320
9,30.940277777777776,55.40444444444444,87.6,300
10,27.49444444444444,52.62777777777777,87.6,190
11,35.566388888888895,49.126666666666665,87.6,150
12,36.08277777777778,52.80972222222222,87.6,100
13,36.93333333333334,48.95,87.6,0
14,27.822222222222223,52.08055555555556,87.6,0
15,29.266666666666666,51.216666666666676,87.6,0
16,37.84916666666666,46.831111111111106,87.6,0
17,33.28333333333334,47.508333333333326,87.6,0
18,34.00944444444444,50.83527777777778,87.6,0
19,35.460833333333326,59.18194444444444,87.7,3000
20,36.37222222222223,56.02083333333333,87.7,2000
21,38.32944444444445,44.86944444444445,87.7,2000
22,28.76666666666667,57.02777777777777,87.7,250
23,34.51194444444444,48.69833333333332,87.7,0
24,32.46888888888889,50.11833333333333,87.7,0
25,35.22500000000001,48.20833333333333,87.7,0
26,31.754166666666666,49.81805555555555,87.7,0
27,28.827777777777776,52.92777777777777,87.7,0
28,30.278333333333336,53.235,87.7,0
29,34.63194444444445,48.29472222222223,87.7,0
30,37.92972222222221,46.12138888888889,87.7,0
31,36.13111111111112,50.66833333333332,87.7,0
32,37.65,48.05833333333334,87.7,0
33,32.91833333333334,47.30055555555555,87.8,96000
34,34.68944444444444,49.88416666666666,87.8,20000
35,36.78888888888889,45.67527777777778,87.8,4000
36,31.24638888888889,49.71750000000001,87.8,1200
37,27.154166666666665,53.05277777777777,87.8,1000
38,37.48111111111112,47.04527777777777,87.8,100
39,35.81111111111111,51.77777777777777,87.8,100
40,34.49444444444445,46.27777777777777,87.8,0
41,28.974999999999994,53.2111111111111,87.8,0
42,36.66333333333332,49.553333333333335,87.8,0
44,37.03305555555556,50.32638888888889,87.8,0
45,35.31388888888889,46.37777777777777,87.8,0
46,37.8111111111111,48.90833333333333,87.8,0
49,27.425555555555555,56.1725,87.9,60000
50,33.45861111111111,49.48555555555555,87.9,300
51,35.98861111111112,51.57916666666666,87.9,100
52,36.14166666666666,49.2111111111111,87.9,0
53,39.21305555555555,47.97472222222223,87.9,0
54,31.374166666666667,50.127222222222215,87.9,0
56,31.135,61.64388888888889,88.0,240000
57,37.98055555555556,46.63805555555556,88.0,120000
58,29.985277777777775,56.76166666666667,88.0,105000
59,34.30805555555554,47.034722222222214,88.0,96000
60,35.82749999999999,51.44694444444443,88.0,96000
61,34.03666666666667,58.58611111111111,88.0,74000
62,36.41166666666666,51.97861111111111,88.0,63000
63,35.75361111111112,53.68944444444444,88.0,60000
64,35.54722222222223,46.16527777777778,88.0,30000
65,36.23444444444444,59.5675,88.0,13000
66,31.76333333333333,59.99444444444445,88.0,13000
67,29.396666666666665,52.73361111111112,88.0,10000
68,34.85861111111112,47.62555555555555,88.0,10000
69,37.57722222222223,57.20777777777778,88.0,9000
70,32.968611111111116,59.19888888888889,88.0,6000
71,31.323055555555555,48.72083333333333,88.0,5000
72,25.31666666666667,60.67777777777777,88.0,4000
73,37.28027777777778,58.9436111111111,88.0,4000
74,39.301944444444445,44.49416666666667,88.0,4000
75,36.415555555555564,56.7575,88.0,3000
76,35.430277777777775,47.07805555555556,88.0,3000
77,33.47944444444444,48.34333333333334,88.0,2000
78,36.26583333333334,46.17861111111112,88.0,1580
79,37.58861111111111,48.60166666666666,88.0,1410
80,39.082499999999996,44.44388888888889,88.0,1280
81,36.842222222222226,56.88583333333334,88.0,1200
82,38.86277777777779,47.02249999999999,88.0,890
83,32.336388888888884,50.8663888888889,88.0,890
84,32.00833333333333,51.78444444444444,88.0,890
85,33.611111111111114,56.92777777777777,88.0,890
86,34.33194444444445,48.787777777777784,88.0,700
87,33.52361111111111,47.847777777777786,88.0,540
88,32.10000000000001,54.001666666666665,88.0,390
89,35.18944444444445,47.38250000000001,88.0,300
90,33.80694444444445,46.32777777777779,88.0,300
91,31.871666666666663,51.16805555555555,88.0,300
92,33.62138888888888,46.42777777777777,88.0,300
93,28.548055555555553,53.361666666666665,88.0,300
94,29.6125,51.661944444444444,88.0,300
95,29.258888888888883,54.41083333333332,88.0,250
96,36.14944444444444,45.46333333333333,88.0,250
97,34.81666666666668,46.53333333333333,88.0,190
98,37.38472222222222,46.246111111111105,88.0,190
99,33.043888888888894,47.76916666666667,88.0,190
100,35.86166666666667,47.591388888888886,88.0,150
101,35.776666666666664,52.87666666666667,88.0,150
102,33.766666666666666,55.02777777777777,88.0,150
103,30.911111111111108,52.694444444444436,88.0,100
104,36.10833333333334,51.314722222222215,88.0,100
105,37.71722222222222,46.22277777777777,88.0,100
106,36.03055555555556,52.175000000000004,88.0,100
107,33.759722222222216,46.56833333333334,88.0,100
108,35.76194444444445,49.28222222222222,88.0,0
109,30.068333333333335,53.147777777777776,88.0,0
110,36.71999999999999,49.13888888888889,88.0,0
111,37.09166666666666,50.1861111111111,88.0,0
112,32.0,50.661111111111104,88.0,0
113,28.44555555555555,56.398333333333326,88.0,0
114,34.79194444444445,48.12805555555556,88.0,0
115,35.97138888888888,45.89222222222222,88.0,0
116,33.30777777777777,47.03,88.0,0
117,36.523333333333326,46.190555555555555,88.0,0
118,28.733055555555556,54.53527777777778,88.0,0
119,31.717777777777773,50.30638888888888,88.0,0
120,35.92777777777777,47.02499999999999,88.0,0
121,33.31111111111111,47.10000000000001,88.0,0
122,27.524999999999995,57.88055555555555,88.0,0
123,33.72916666666667,59.19166666666666,88.0,0
124,34.12861111111111,45.88805555555556,88.0,0
125,33.45000000000001,50.28888888888888,88.0,0
126,34.75833333333334,48.51611111111111,88.0,0
127,36.513888888888886,51.15277777777778,88.0,0
128,27.435000000000002,53.32277777777778,88.0,0
129,37.1561111111111,50.10000000000001,88.0,0
130,31.508333333333336,50.833333333333336,88.0,0
131,37.15722222222222,48.991666666666674,88.0,0
132,36.405555555555544,45.37083333333333,88.0,0
133,34.17916666666667,48.38999999999999,88.0,0
134,30.116666666666667,51.525000000000006,88.0,0
135,35.04055555555554,46.34833333333333,88.0,0
137,35.164166666666674,47.78527777777778,88.0,0
138,35.30833333333333,49.10000000000001,88.0,0
139,31.266666666666666,56.8111111111111,88.0,0
140,30.61666666666667,53.19166666666666,88.0,0
141,30.257499999999997,51.979444444444454,88.0,0
143,33.93472222222221,49.40111111111111,88.0,0
144,31.188888888888883,52.52166666666666,88.0,0
145,30.449722222222217,53.36277777777777,88.0,0
146,36.400000000000006,47.11666666666667,88.0,0
147,34.5611111111111,48.45000000000001,88.0,0
148,30.651666666666664,51.596388888888896,88.0,0
149,37.222500000000004,45.286111111111104,88.0,0
154,27.914722222222224,52.12166666666668,88.1,500
155,32.787499999999994,48.147222222222226,88.1,0
156,32.077777777777776,49.37166666666667,88.1,0
158,36.89444444444444,45.21305555555555,88.2,30000
159,28.880277777777774,56.03111111111111,88.2,26000
160,36.4275,49.59027777777778,88.2,13000
161,29.095555555555556,58.3111111111111,88.2,2000
162,32.39444444444444,48.39444444444444,88.2,1500
163,28.981388888888887,50.83444444444444,88.2,500
164,32.70000000000001,47.27777777777777,88.2,300
165,38.58333333333334,45.80833333333332,88.2,180
166,34.46194444444444,48.18777777777778,88.2,100
167,34.33305555555556,50.48833333333334,88.2,0
168,27.897777777777776,53.44472222222222,88.2,0
169,39.16666666666667,47.5611111111111,88.2,0
170,35.14444444444444,49.70833333333334,88.2,0
171,34.16694444444443,50.69777777777777,88.2,0
172,35.022222222222226,50.324999999999996,88.2,0
173,36.671944444444435,54.17666666666666,88.3,230000
174,25.721388888888885,57.802499999999995,88.3,150000
175,34.07750000000001,49.6625,88.3,100000
176,38.216944444444444,48.70555555555555,88.3,83000
178,35.512499999999996,51.7588888888889,88.3,1000
179,39.65,47.92777777777777,88.3,1000
180,33.18472222222223,50.436944444444435,88.3,790
181,30.218333333333334,57.55027777777778,88.3,600
182,28.64777777777778,52.039722222222224,88.3,300
183,36.70833333333334,46.55888888888888,88.3,190
184,34.576388888888886,48.27499999999999,88.3,100
185,30.32805555555555,50.2038888888889,88.3,70
186,37.358333333333334,47.03583333333332,88.3,0
187,27.21055555555555,53.608333333333334,88.3,0
188,29.429166666666667,51.29305555555555,88.3,0
189,37.105277777777786,57.51055555555556,88.3,0
190,30.018055555555556,51.957777777777785,88.3,0
191,33.24583333333334,47.729444444444454,88.3,0
192,37.94166666666667,47.53333333333333,88.3,0
193,30.585555555555555,51.368611111111115,88.3,0
194,33.45416666666668,46.74166666666666,88.3,0
195,34.18444444444444,48.99833333333333,88.3,0
198,33.53777777777777,46.299722222222215,88.4,100000
199,30.712499999999995,49.843055555555566,88.4,96000
200,30.317500000000003,51.45416666666668,88.4,300
201,32.866666666666674,53.077777777777776,88.4,300
202,29.83833333333333,53.36694444444445,88.4,250
203,35.712500000000006,52.08055555555556,88.4,100
204,38.97388888888889,47.13638888888889,88.4,0
206,35.749722222222225,59.35472222222222,88.5,126000
207,38.906111111111116,45.18694444444444,88.5,87000
208,34.64083333333333,60.39444444444444,88.5,74000
209,29.92916666666667,55.79888888888889,88.5,58000
210,26.152222222222225,61.00277777777777,88.5,55000
211,34.65944444444444,50.70000000000001,88.5,50000
212,30.766388888888887,53.18499999999999,88.5,48000
213,36.557222222222215,48.42722222222221,88.5,37000
214,32.51666666666667,51.29694444444444,88.5,20000
215,31.88361111111111,54.400277777777774,88.5,17000
216,32.02472222222222,49.16944444444444,88.5,15000
217,30.292777777777783,55.826666666666675,88.5,11000
218,37.49611111111112,45.08833333333334,88.5,10000
219,36.58944444444445,51.604166666666664,88.5,3000
220,31.886388888888884,49.97472222222223,88.5,3000
221,38.362222222222215,45.843611111111116,88.5,2000
222,35.32777777777777,58.45000000000001,88.5,1690
223,32.76805555555556,59.86083333333333,88.5,1410
224,34.46888888888889,47.86333333333334,88.5,890
225,29.506388888888885,57.8525,88.5,890
226,32.09444444444444,48.28333333333334,88.5,500
227,33.76416666666667,49.885,88.5,500
228,28.386944444444445,53.02249999999999,88.5,300
229,35.86833333333334,52.56444444444444,88.5,100
230,33.85305555555556,49.347500000000004,88.5,0
231,35.94416666666665,45.93638888888889,88.5,0
232,36.82416666666667,58.50111111111112,88.5,0
233,29.057499999999997,57.92388888888888,88.5,0
234,33.468333333333334,49.074444444444445,88.5,0
235,27.66694444444444,54.14111111111111,88.5,0
236,35.16055555555556,49.640277777777776,88.5,0
237,36.70944444444445,49.2525,88.5,0
238,28.77444444444445,52.50638888888889,88.5,0
239,35.16888888888889,46.25472222222222,88.5,0
240,29.526111111111113,51.82972222222223,88.5,0
241,36.163888888888884,52.97222222222223,88.5,0
245,29.49444444444444,60.866666666666674,88.6,3000
246,27.59361111111111,53.85444444444445,88.6,250
247,36.44416666666666,50.586944444444455,88.6,0
248,35.38055555555556,49.99361111111111,88.6,0
249,29.944444444444443,56.56666666666668,88.6,0
250,28.827777777777776,52.98750000000001,88.6,0
251,27.77611111111111,54.00388888888888,88.6,0
252,35.20833333333333,48.72777777777778,88.6,0
253,34.802499999999995,46.93611111111111,88.6,0
254,32.34527777777779,49.090277777777786,88.6,0
255,36.81944444444445,50.1986111111111,88.6,0
256,36.16666666666667,57.04166666666667,88.6,0
257,36.675,54.56666666666668,88.6,0
258,29.056944444444444,52.62083333333333,88.6,0
261,28.592222222222222,51.154999999999994,88.7,100000
262,31.350000000000005,47.91111111111111,88.7,40000
263,34.75472222222223,48.82111111111111,88.7,13000
264,33.555,51.89388888888889,88.7,11000
265,30.028055555555554,53.00916666666667,88.7,3000
266,35.483888888888885,50.96194444444445,88.7,1000
267,36.56666666666668,53.05,88.7,500
268,36.23222222222221,53.56083333333333,88.7,150
269,36.812222222222225,49.441944444444445,88.7,150
270,35.93583333333332,51.46638888888889,88.7,100
271,36.17583333333332,53.32166666666667,88.7,0
272,29.92416666666667,57.513333333333335,88.7,0
273,34.52833333333333,49.99583333333332,88.7,0
274,38.444444444444436,48.866666666666674,88.7,0
275,31.526388888888892,49.88333333333333,88.7,0
276,39.39444444444444,48.352777777777774,88.7,0
277,32.25916666666667,50.567222222222235,88.7,0
278,34.431111111111115,48.69055555555555,88.7,0
279,33.02777777777777,59.56111111111112,88.7,0
280,37.400000000000006,57.93333333333334,88.7,0
281,38.86805555555555,46.00277777777777,88.7,0
287,37.67555555555555,45.973333333333336,88.8,12000
288,35.2388888888889,46.21888888888889,88.8,10000
289,33.44416666666666,48.00111111111111,88.8,3000
290,29.232777777777777,56.62444444444444,88.8,390
291,30.583333333333336,50.261111111111106,88.8,100
292,33.13694444444444,47.384444444444455,88.8,0
293,37.25944444444444,55.74527777777777,88.8,0
294,26.841666666666665,60.17222222222221,88.8,0
295,33.604166666666664,60.0,88.8,0
296,32.952777777777776,47.78472222222222,88.8,0
297,29.632777777777783,52.03666666666667,88.8,0
298,29.48305555555556,54.336388888888884,88.8,0
306,35.80083333333333,51.084722222222226,88.9,12000
307,36.31444444444445,53.214722222222235,88.9,100
308,38.67305555555554,45.58805555555556,88.9,0
309,37.91111111111111,55.977777777777774,88.9,0
314,32.879444444444445,52.39972222222222,89.0,195000
315,32.08083333333333,48.827222222222225,89.0,100000
316,38.59611111111111,47.18305555555555,89.0,98000
317,37.441111111111105,49.83,89.0,80000
318,36.604166666666664,59.92638888888889,89.0,63000
319,36.388055555555546,57.60611111111112,89.0,42000
320,27.713611111111113,52.22111111111111,89.0,40000
321,29.215277777777775,53.57777777777778,89.0,17000
322,28.976666666666667,58.88277777777777,89.0,16000
323,35.26111111111112,60.33111111111111,89.0,12000
324,33.56472222222221,48.90527777777777,89.0,12000
325,37.34722222222222,47.796944444444435,89.0,11000
326,37.238333333333344,58.48777777777779,89.0,7000
327,38.86111111111111,45.677777777777784,89.0,5000
328,37.62277777777778,58.49944444444444,89.0,4000
329,29.46111111111111,55.70000000000001,89.0,4000
330,36.831944444444446,54.40638888888889,89.0,3000
331,34.30472222222222,46.10583333333334,89.0,3000
332,31.434722222222224,60.12972222222222,89.0,1810
333,38.04305555555555,45.101111111111116,89.0,1580
334,27.74833333333333,54.46861111111112,89.0,1090
335,36.289444444444435,54.1561111111111,89.0,890
336,33.94444444444444,48.051388888888894,89.0,790
337,36.39638888888888,54.970277777777774,89.0,390
338,28.227777777777774,61.216666666666676,89.0,300
339,38.5611111111111,44.93333333333334,89.0,300
340,35.74166666666666,51.91388888888889,89.0,200
341,33.37777777777777,53.67777777777777,89.0,150
342,28.940277777777776,52.53388888888889,89.0,150
343,26.23666666666667,60.22944444444445,89.0,150
344,36.13583333333333,53.0586111111111,89.0,140
345,35.92583333333333,51.53222222222223,89.0,100
346,36.10277777777778,52.08888888888889,89.0,100
347,35.27638888888889,47.12888888888888,89.0,100
348,36.01527777777777,51.488055555555555,89.0,100
349,37.02777777777777,54.45000000000001,89.0,0
350,37.71944444444444,48.958333333333336,89.0,0
351,36.974999999999994,50.56666666666668,89.0,0
352,28.108888888888885,57.71555555555557,89.0,0
353,33.16444444444444,59.71416666666667,89.0,0
354,34.49166666666667,48.284722222222214,89.0,0
355,32.94166666666667,50.12222222222223,89.0,0
356,29.91388888888889,57.69972222222222,89.0,0
357,33.87361111111112,49.56111111111112,89.0,0
358,27.200000000000003,60.694444444444436,89.0,0
359,29.877777777777776,51.702777777777776,89.0,0
360,33.92777777777777,50.45000000000001,89.0,0
361,33.37916666666666,46.604166666666664,89.0,0
362,36.76611111111112,49.43055555555556,89.0,0
363,36.446111111111115,51.279444444444444,89.0,0
364,30.77111111111111,49.72222222222223,89.0,0
365,31.151388888888885,56.43361111111111,89.0,0
366,36.71388888888888,45.13472222222222,89.0,0
367,29.28083333333333,56.853888888888896,89.0,0
368,33.86111111111112,58.52222222222221,89.0,0
369,30.00777777777778,55.79416666666667,89.0,0
370,31.416666666666668,51.56666666666668,89.0,0
377,27.877777777777776,51.977777777777774,89.3,100
379,30.433333333333337,49.09444444444444,89.4,96000
380,35.82749999999999,51.44694444444443,89.5,96000
381,35.12027777777778,52.3736111111111,89.6,8000
382,36.780833333333334,55.147499999999994,89.6,1810
383,27.154166666666665,53.05277777777777,89.6,1000
384,33.958333333333336,46.36611111111112,89.6,320
385,37.84916666666666,46.831111111111106,89.6,0
386,34.00944444444444,50.83527777777778,89.6,0
387,36.8036111111111,48.870000000000005,89.6,0
389,25.721388888888885,57.802499999999995,89.7,150000
390,30.187777777777775,48.43444444444443,89.7,40000
391,35.460833333333326,59.18194444444444,89.7,3000
392,36.37222222222223,56.02083333333333,89.7,2000
393,33.88277777777777,51.37222222222223,89.7,300
394,35.22500000000001,48.20833333333333,89.7,0
395,32.91833333333334,47.30055555555555,89.8,96000
396,34.68944444444444,49.88416666666666,89.8,20000
397,36.78888888888889,45.67527777777778,89.8,4000
398,37.261111111111106,55.150000000000006,89.8,500
399,37.48111111111112,47.04527777777777,89.8,100
400,37.03305555555556,50.32638888888889,89.8,0
401,30.121388888888887,55.10861111111111,89.8,0
402,37.8111111111111,48.90833333333333,89.8,0
403,39.21305555555555,47.97472222222223,89.9,100000
404,26.935833333333335,54.38611111111111,89.9,96000
406,31.135,61.64388888888889,90.0,240000
407,37.98055555555556,46.63805555555556,90.0,120000
408,29.985277777777775,56.76166666666667,90.0,105000
409,35.82749999999999,51.44694444444443,90.0,96000
411,34.03666666666667,58.58611111111111,90.0,74000
412,36.41166666666666,51.97861111111111,90.0,63000
413,35.75361111111112,53.68944444444444,90.0,60000
414,35.54722222222223,46.16527777777778,90.0,30000
415,36.23444444444444,59.5675,90.0,13000
416,29.396666666666665,52.73361111111112,90.0,10000
417,37.57722222222223,57.20777777777778,90.0,9000
418,32.968611111111116,59.19888888888889,90.0,6000
419,31.323055555555555,48.72083333333333,90.0,5000
420,35.430277777777775,47.07805555555556,90.0,3000
421,37.58861111111111,48.60166666666666,90.0,1410
422,38.86277777777779,47.02249999999999,90.0,890
423,32.336388888888884,50.8663888888889,90.0,890
424,27.716111111111108,57.62972222222221,90.0,790
425,34.33194444444445,48.787777777777784,90.0,700
426,32.10000000000001,54.001666666666665,90.0,390
427,33.62138888888888,46.42777777777777,90.0,300
428,28.548055555555553,53.361666666666665,90.0,300
429,36.70833333333334,46.55888888888888,90.0,190
430,36.10833333333334,51.314722222222215,90.0,100
431,35.77694444444445,52.50305555555555,90.0,100
432,28.44555555555555,56.398333333333326,90.0,0
433,34.79194444444445,48.12805555555556,90.0,0
434,35.97138888888888,45.89222222222222,90.0,0
435,33.30777777777777,47.03,90.0,0
436,31.97777777777777,51.28888888888888,90.0,0
437,36.523333333333326,46.190555555555555,90.0,0
438,28.733055555555556,54.53527777777778,90.0,0
439,35.92777777777777,47.02499999999999,90.0,0
440,33.31111111111111,47.10000000000001,90.0,0
441,34.75833333333334,48.51611111111111,90.0,0
442,36.513888888888886,51.15277777777778,90.0,0
443,30.292500000000004,57.0938888888889,90.0,0
444,37.1561111111111,50.10000000000001,90.0,0
445,31.508333333333336,50.833333333333336,90.0,0
446,33.57250000000001,46.81444444444444,90.0,0
448,31.266666666666666,56.8111111111111,90.0,0
449,33.93472222222221,49.40111111111111,90.0,0
450,34.5611111111111,48.45000000000001,90.0,0
451,30.651666666666664,51.596388888888896,90.0,0
454,27.425555555555555,56.1725,90.1,60000
457,36.4275,49.59027777777778,90.2,13000
458,32.39444444444444,48.39444444444444,90.2,1500
459,28.981388888888887,50.83444444444444,90.2,500
460,27.850000000000005,60.16666666666667,90.2,300
461,32.70000000000001,47.27777777777777,90.2,300
462,27.897777777777776,53.44472222222222,90.2,0
463,35.022222222222226,50.324999999999996,90.2,0
464,36.671944444444435,54.17666666666666,90.3,230000
465,34.07750000000001,49.6625,90.3,100000
466,29.25722222222222,50.3025,90.3,100000
467,38.216944444444444,48.70555555555555,90.3,11000
468,30.712499999999995,49.843055555555566,90.3,10000
469,35.512499999999996,51.7588888888889,90.3,1000
470,33.53777777777777,46.299722222222215,90.4,100000
471,29.83833333333333,53.36694444444445,90.4,250
472,35.712500000000006,52.08055555555556,90.4,100
473,38.906111111111116,45.18694444444444,90.5,87000
474,34.64083333333333,60.39444444444444,90.5,74000
475,29.92916666666667,55.79888888888889,90.5,58000
476,34.65944444444444,50.70000000000001,90.5,50000
477,36.557222222222215,48.42722222222221,90.5,37000
478,32.51666666666667,51.29694444444444,90.5,20000
479,31.88361111111111,54.400277777777774,90.5,17000
480,37.49611111111112,45.08833333333334,90.5,10000
481,38.362222222222215,45.843611111111116,90.5,2000
482,33.76416666666667,49.885,90.5,500
483,35.86833333333334,52.56444444444444,90.5,100
484,35.94416666666665,45.93638888888889,90.5,0
485,28.47333333333333,53.54138888888888,90.5,0
486,36.163888888888884,52.97222222222223,90.5,0
