,Latitude in degrees,Longitude in degrees,Frequency(MHz),EIRP
0,8.133333333333333,-4.46111111111111,87.6,10000
1,7.381388888888888,-6.478333333333334,87.6,1000
2,5.319444444444444,-4.022777777777778,87.7,1000
3,6.027222222222222,-5.497777777777779,87.7,500
4,5.930000000000001,-4.212500000000001,87.7,0
5,9.545277777777775,-7.3183333333333325,87.9,3500
6,6.73,-3.4852777777777786,87.9,2000
7,4.918611111111111,-7.493888888888889,87.9,500
8,5.319444444444444,-4.022777777777778,88.0,8000
9,6.572500000000001,-8.00722222222222,88.0,5000
10,6.842222222222221,-5.2588888888888885,88.1,1000
11,8.051388888888889,-6.185833333333334,88.1,0
12,5.363333333333334,-3.9925000000000006,88.3,1000
13,9.265555555555554,-2.9988888888888896,88.3,0
14,6.76138888888889,-6.865555555555555,88.3,0
15,6.484166666666668,-3.853611111111111,88.4,4500
16,9.140277777777776,-7.605555555555555,88.4,0
17,5.363333333333334,-3.9925000000000006,88.6,1000
18,6.116388888888888,-5.938333333333333,88.6,1000
19,7.158333333333333,-6.308333333333333,88.6,0
20,7.9605555555555565,-6.673888888888888,88.7,3500
21,7.69388888888889,-5.0247222222222225,88.8,5000
22,5.874722222222222,-7.4561111111111105,88.8,4500
23,5.416944444444444,-4.022500000000001,88.9,1000
24,7.428611111111111,-6.0394444444444435,89.0,5000
25,9.588055555555554,-5.379722222222223,89.1,5000
26,5.344166666666666,-4.066944444444443,89.1,1000
27,5.463333333333333,-3.201944444444444,89.2,5000
28,7.412777777777778,-7.5438888888888895,89.2,0
29,7.319444444444444,-4.688888888888889,89.3,0
30,5.363333333333334,-3.9925000000000006,89.4,1000
31,6.554722222222221,-5.016111111111111,89.4,0
32,6.629999999999999,-5.916111111111111,89.5,5000
33,7.69388888888889,-5.0247222222222225,89.5,500
34,9.989722222222222,-7.841944444444444,89.6,5000
35,5.786666666666665,-6.5888888888888895,89.6,5000
36,7.9605555555555565,-6.673888888888888,89.6,1000
37,9.614999999999998,-3.6777777777777776,89.7,10000
38,7.486944444444443,-3.251111111111111,89.7,5000
39,5.302777777777778,-3.9586111111111117,89.7,1000
40,8.13611111111111,-5.100277777777778,89.7,0
41,6.650277777777779,-4.707222222222223,89.8,5000
42,5.258333333333332,-5.0069444444444455,89.8,0
43,9.077777777777776,-5.171111111111112,89.9,0
44,4.756388888888889,-6.643611111111111,90.0,5000
45,5.363333333333334,-3.9925000000000006,90.0,2000
46,5.930000000000001,-4.212500000000001,90.0,0
47,9.519166666666669,-6.48111111111111,90.0,0
48,5.6722222222222225,-4.575277777777777,90.0,0
49,7.69388888888889,-5.0247222222222225,90.2,0
50,6.842222222222221,-5.2588888888888885,90.2,0
51,5.901111111111112,-4.821944444444445,90.3,5000
52,5.363333333333334,-3.9925000000000006,90.3,0
53,5.258333333333332,-5.0069444444444455,90.3,0
54,9.620277777777778,-6.941666666666666,90.3,0
55,5.825555555555555,-5.3691666666666675,90.4,500
56,8.011388888888886,-2.8269444444444445,90.5,4500
57,7.381388888888888,-6.478333333333334,90.5,1000
58,5.250000000000001,-3.9333333333333336,90.5,250
59,6.746388888888889,-7.346944444444445,90.6,5000
60,6.11111111111111,-3.860555555555555,90.6,0
61,4.756388888888889,-6.643611111111111,90.6,0
62,8.133333333333333,-4.46111111111111,90.7,10000
63,7.455,-5.293055555555555,90.7,1000
64,6.5825,-8.410833333333334,90.7,1000
65,5.828611111111111,-5.360277777777778,90.8,3000
66,5.363333333333334,-3.9925000000000006,90.8,1000
67,9.519166666666669,-6.48111111111111,90.8,0
68,7.163888888888889,-3.3105555555555557,91.0,5000
69,9.545277777777775,-7.3183333333333325,91.0,3500
70,5.644444444444445,-4.094444444444444,91.0,500
71,4.918611111111111,-7.493888888888889,91.0,500
72,5.319444444444444,-4.022777777777778,91.1,5000
73,7.412777777777778,-7.5438888888888895,91.1,400
74,6.842222222222221,-5.2588888888888885,91.2,1000
75,6.8875,-6.449722222222223,91.4,4500
76,9.265555555555554,-2.9988888888888896,91.4,0
77,6.116388888888888,-5.938333333333333,91.4,0
78,6.484166666666668,-3.853611111111111,91.5,4500
79,6.73,-3.4852777777777786,91.5,0
80,5.307222222222221,-3.9849999999999994,91.7,5000
81,9.45222222222222,-5.650833333333333,91.7,2000
82,8.051388888888889,-6.185833333333334,91.8,5000
83,5.319444444444444,-4.022777777777778,92.0,8000
84,9.989722222222222,-7.841944444444444,92.0,5000
85,6.267222222222221,-5.071111111111111,92.0,0
86,7.660277777777778,-5.009722222222222,92.1,4500
87,9.45222222222222,-5.650833333333333,92.2,500
88,10.006111111111112,-5.915555555555557,92.2,0
89,5.151944444444445,-3.315555555555555,92.3,5000
90,6.9775,-5.73888888888889,92.3,5000
91,7.319444444444444,-4.688888888888889,92.4,0
92,9.596666666666664,-5.195555555555555,92.5,5000
93,5.347777777777776,-4.033888888888889,92.5,300
94,6.267222222222221,-5.071111111111111,92.6,5000
95,7.428611111111111,-6.0394444444444435,92.6,5000
96,5.298888888888889,-6.51888888888889,92.7,3500
97,9.545277777777775,-7.3183333333333325,92.7,0
98,9.614999999999998,-3.6777777777777776,92.8,10000
99,6.9775,-5.73888888888889,92.8,5000
100,6.5825,-8.410833333333334,92.8,4500
101,5.307222222222221,-3.9849999999999994,92.8,1000
102,7.69388888888889,-5.0247222222222225,92.8,1000
103,6.842222222222221,-5.2588888888888885,92.8,500
104,7.61888888888889,-3.996388888888889,92.9,5000
105,8.814444444444447,-5.183888888888888,93.0,3500
106,5.930000000000001,-4.212500000000001,93.0,1000
107,5.258333333333332,-5.0069444444444455,93.0,0
108,6.240833333333332,-6.17638888888889,93.1,5000
109,9.770833333333332,-6.475555555555555,93.1,5000
110,6.572500000000001,-8.00722222222222,93.1,0
111,6.116388888888888,-6.539722222222223,93.1,0
112,7.412777777777778,-7.5438888888888895,93.2,0
113,5.363333333333334,-3.9925000000000006,93.3,5000
114,5.311666666666666,-4.0102777777777785,93.6,5000
115,7.455,-5.293055555555555,93.6,5000
116,7.486944444444443,-3.251111111111111,93.7,5000
117,7.0102777777777785,-7.485555555555556,93.7,0
118,6.548611111111111,-7.498333333333333,93.7,0
119,7.428611111111111,-6.0394444444444435,93.7,0
120,5.342777777777778,-4.026666666666667,93.8,1000
121,7.159166666666668,-5.223055555555555,93.9,5000
122,7.69388888888889,-5.0247222222222225,93.9,0
123,9.461666666666668,-5.624722222222221,94.0,10000
124,5.311666666666666,-4.0102777777777785,94.0,5000
125,5.825555555555555,-5.3691666666666675,94.0,5000
126,4.756388888888889,-6.643611111111111,94.0,1000
127,9.808333333333335,-3.3472222222222223,94.0,0
128,6.5825,-8.410833333333334,94.0,0
129,7.537222222222221,-3.282222222222222,94.2,4000
130,9.504722222222224,-7.549722222222222,94.2,1000
131,6.781944444444443,-8.310833333333333,94.3,5000
132,5.416944444444444,-4.022500000000001,94.3,2000
133,9.152777777777777,-4.617777777777778,94.3,0
134,4.756388888888889,-6.643611111111111,94.4,0
135,6.842222222222221,-5.2588888888888885,94.4,0
136,7.69388888888889,-5.0247222222222225,94.5,500
137,5.319444444444444,-4.022777777777778,94.6,1000
138,6.76138888888889,-6.865555555555555,94.6,0
139,8.2875,-7.680277777777777,94.7,4500
140,6.73,-3.4852777777777786,94.7,0
141,5.307222222222221,-3.9849999999999994,94.8,1000
142,6.301944444444444,-5.7075,94.9,5000
143,7.9605555555555565,-6.673888888888888,95.0,3500
144,5.363333333333334,-3.9925000000000006,95.0,1000
145,5.874722222222222,-7.4561111111111105,95.1,4500
146,9.620277777777778,-6.941666666666666,95.1,0
147,5.930000000000001,-4.212500000000001,95.2,0
148,5.845277777777777,-5.322777777777777,95.3,2500
149,5.302777777777778,-3.9586111111111117,95.3,1000
150,7.660277777777778,-5.009722222222222,95.3,1000
151,9.45222222222222,-5.650833333333333,95.3,1000
152,7.381388888888888,-6.478333333333334,95.3,1000
153,8.372222222222222,-4.4300000000000015,95.3,500
154,5.463333333333333,-3.201944444444444,95.3,0
155,7.242222222222223,-8.149444444444446,95.3,0
156,7.412777777777778,-7.5438888888888895,95.3,0
157,9.504722222222224,-7.549722222222222,95.3,0
158,7.9605555555555565,-6.673888888888888,95.3,0
159,5.874722222222222,-7.4561111111111105,95.3,0
160,4.412500000000001,-7.357777777777777,95.3,0
161,7.428611111111111,-6.0394444444444435,95.3,0
162,9.461666666666668,-5.624722222222221,95.4,0
163,7.412777777777778,-7.5438888888888895,95.5,1000
164,5.416666666666667,-3.033333333333333,95.5,0
165,6.5825,-8.410833333333334,95.5,0
166,6.985000000000001,-5.603888888888887,95.5,0
167,8.181388888888888,-5.7225,95.6,0
168,5.363333333333334,-3.9925000000000006,95.7,1000
169,6.554722222222221,-5.016111111111111,95.8,5000
170,6.393055555555557,-3.8872222222222224,95.8,1000
171,5.298888888888889,-6.51888888888889,95.9,3500
172,6.1833333333333345,-5.295833333333333,95.9,0
173,6.5825,-8.410833333333334,96.0,4500
174,5.338611111111112,-4.030277777777777,96.0,1000
175,9.265555555555554,-2.9988888888888896,96.0,1000
176,7.412777777777778,-7.5438888888888895,96.0,1000
177,6.842222222222221,-5.2588888888888885,96.0,0
178,4.9449999999999985,-6.095555555555556,96.3,5000
179,10.479722222222225,-6.408888888888889,96.3,4500
180,6.308888888888889,-5.9350000000000005,96.3,500
181,5.50138888888889,-3.6611111111111114,96.3,0
182,6.11111111111111,-3.860555555555555,96.5,0
183,5.363333333333334,-3.9925000000000006,96.6,1000
184,7.412777777777778,-7.5438888888888895,96.7,10000
185,9.461666666666668,-5.624722222222221,96.7,500
186,5.344166666666666,-4.066944444444443,96.8,5000
187,7.412777777777778,-7.5438888888888895,96.9,4500
