,Latitude in degrees,Longitude in degrees,Frequency(MHz),EIRP
0,9.513333333333334,138.1125,88.1,500
1,6.959444444444446,158.21,88.1,300
2,7.438888888888888,151.85277777777776,88.1,0
3,5.31111111111111,162.98333333333332,88.1,0
4,6.969166666666666,158.19000000000003,88.5,300
5,7.438888888888888,151.85277777777776,88.5,100
6,9.555555555555559,138.15944444444446,88.9,300
7,7.438888888888888,151.85277777777776,89.5,500
8,6.969166666666666,158.19000000000003,89.5,300
9,9.527500000000002,138.11555555555552,89.7,0
10,6.969166666666666,158.19000000000003,99.5,300
11,6.959444444444446,158.21,101.1,0
12,6.969166666666666,158.19000000000003,102.5,300
13,6.949166666666666,158.1936111111111,104.1,0
