,Latitude in degrees,Longitude in degrees,Frequency(MHz),EIRP
0,-6.372222222222223,143.22277777777782,88.0,20
1,-6.730555555555554,143.9222222222222,88.0,20
2,-4.349166666666667,152.27555555555554,88.1,0
3,-5.830555555555556,145.0958333333333,88.1,0
4,-8.633333333333335,146.50833333333333,88.5,100
5,-5.458333333333332,143.14722222222224,88.7,100
6,-9.468055555555555,147.1758333333333,89.1,0
7,-6.372222222222223,143.22277777777782,89.3,20
8,-9.459166666666668,147.2072222222222,89.9,1000
9,-5.406111111111112,154.68166666666662,89.9,0
10,-5.86111111111111,142.94166666666663,90.0,0
11,-10.305555555555557,150.45833333333331,90.4,0
12,-5.244444444444444,145.79444444444445,90.4,0
13,-8.76388888888889,148.2361111111111,90.5,50
14,-5.406111111111112,154.68166666666662,90.7,1000
15,-9.455000000000002,147.1641666666667,90.7,1000
16,-6.027777777777777,144.9666666666667,90.7,0
17,-2.6763888888888894,141.30277777777783,90.7,0
18,-3.619166666666666,143.6119444444444,90.8,0
19,-6.730555555555554,143.9222222222222,90.9,20
20,-2.574444444444444,150.79444444444442,90.9,0
21,-7.9638888888888895,145.775,90.9,0
22,-4.2974999999999985,152.14555555555552,91.3,0
23,-2.6763888888888894,141.30277777777783,91.5,300
24,-9.07777777777778,143.2083333333333,91.5,0
25,-5.856944444444444,144.23055555555553,91.5,0
26,-6.066666666666666,145.39444444444442,91.9,0
27,-7.4111111111111105,144.24166666666665,92.3,500
28,-5.406111111111112,154.68166666666662,92.3,0
29,-5.856944444444444,144.23055555555553,92.5,500
30,-3.1333333333333333,142.3388888888889,92.9,0
31,-9.455000000000002,147.1641666666667,93.1,1000
32,-5.856944444444444,144.23055555555553,93.5,300
33,-6.066666666666666,145.39444444444442,93.6,0
34,-10.305555555555557,150.45833333333331,93.7,300
35,-6.733333333333334,146.9888888888889,93.7,300
36,-5.244444444444444,145.79444444444445,93.7,300
37,-9.455000000000002,147.1641666666667,93.9,1000
38,-4.191388888888889,152.16194444444446,93.9,300
39,-7.9638888888888895,145.775,94.3,0
40,-6.733333333333334,146.9888888888889,94.7,500
41,-3.0975,152.63194444444443,95.0,10
42,-6.116666666666667,141.30000000000004,95.3,0
43,-3.619166666666666,143.6119444444444,95.3,0
44,-6.288888888888888,145.86111111111114,95.5,0
45,-6.733333333333334,146.9888888888889,95.5,0
46,-2.0375,147.27222222222224,95.5,0
47,-9.455000000000002,147.1641666666667,95.5,0
48,-5.627777777777777,150.2444444444444,96.0,0
49,-6.733333333333334,146.9888888888889,96.3,300
50,-5.244444444444444,145.79444444444445,96.3,300
51,-8.05277777777778,142.94166666666663,96.3,0
52,-6.066666666666666,145.39444444444442,96.3,0
53,-9.455000000000002,147.1641666666667,96.5,1000
54,-4.191388888888889,152.16194444444446,96.5,300
55,-2.0375,147.27222222222224,96.5,20
56,-10.305555555555557,150.45833333333331,96.7,300
57,-5.551388888888888,150.14444444444445,96.9,300
58,-5.856944444444444,144.23055555555553,96.9,300
59,-9.468055555555555,147.1758333333333,97.9,0
60,-6.372222222222223,143.22277777777782,98.0,20
61,-6.730555555555554,143.9222222222222,98.0,20
62,-3.0975,152.63194444444443,98.0,10
63,-5.606944444444443,150.70138888888889,98.0,0
64,-4.347222222222222,152.31333333333333,98.0,0
65,-5.856944444444444,144.23055555555553,98.1,300
66,-3.619166666666666,143.6119444444444,98.3,1000
67,-9.416111111111109,147.16972222222222,98.5,20
68,-10.677777777777777,152.8611111111111,98.9,10
69,-10.68611111111111,152.83749999999998,98.9,0
