,Latitude in degrees,Longitude in degrees,Frequency(MHz),EIRP
0,14.188055555555557,-12.718055555555557,87.5,500
1,15.399166666666664,-15.125277777777779,87.6,1000
2,12.594444444444443,-16.26111111111111,87.6,1000
3,14.666666666666668,-16.266666666666666,87.6,500
4,14.956666666666667,-16.80222222222222,87.6,0
5,14.344722222222224,-16.406388888888888,87.7,500
6,14.722222222222223,-17.266666666666666,87.7,500
7,12.95388888888889,-13.746388888888886,87.7,300
8,14.666666666666668,-16.266666666666666,87.8,3000
9,12.831666666666667,-11.755555555555555,87.8,500
10,14.800000000000002,-15.916666666666668,87.8,0
11,14.666666666666668,-17.433333333333337,87.9,10
12,12.55,-16.266666666666666,88.0,500
13,14.9075,-12.460555555555553,88.0,316
14,14.179166666666665,-16.84583333333333,88.0,300
15,15.628333333333334,-16.20416666666667,88.0,0
16,12.884444444444444,-14.949166666666665,88.1,2000
17,16.010555555555552,-16.491944444444442,88.1,1000
18,13.783333333333335,-13.669999999999998,88.1,316
19,14.71111111111111,-17.433333333333337,88.1,0
20,14.714444444444444,-16.45472222222222,88.2,500
21,13.748055555555554,-15.769166666666669,88.3,3000
22,12.804722222222223,-16.233333333333334,88.3,1000
23,12.557500000000003,-12.19027777777778,88.3,1000
24,14.462222222222222,-12.211944444444443,88.3,1000
25,15.628333333333334,-16.20416666666667,88.3,1000
26,15.966666666666667,-13.61111111111111,88.3,316
27,14.670833333333334,-17.427500000000006,88.4,5000
28,14.104999999999999,-15.550555555555555,88.5,500
29,14.800000000000002,-15.916666666666668,88.5,500
30,13.783333333333335,-13.669999999999998,88.5,500
31,14.666666666666668,-16.266666666666666,88.5,10
32,16.010555555555552,-16.491944444444442,88.5,0
33,14.696111111111112,-17.444444444444443,88.6,500
34,12.633333333333335,-12.816666666666666,88.6,500
35,12.55,-16.266666666666666,88.6,500
36,15.628333333333334,-16.20416666666667,88.7,1000
37,15.666666666666668,-13.344444444444441,88.7,1000
38,13.294444444444443,-14.7125,88.7,500
39,13.748055555555554,-15.769166666666669,88.7,500
40,12.831666666666667,-11.755555555555555,88.8,5000
41,14.762777777777776,-16.9475,88.8,500
42,16.500000000000004,-15.500000000000002,88.9,1000
43,14.668611111111112,-17.439999999999998,88.9,1000
44,16.078055555555554,-13.857500000000002,88.9,1000
45,16.010555555555552,-16.491944444444442,88.9,1000
46,13.783333333333335,-13.669999999999998,88.9,500
47,15.399166666666664,-15.125277777777779,89.0,5000
48,13.978888888888891,-14.811666666666666,89.0,2000
49,15.608333333333333,-13.317222222222224,89.1,5000
50,15.666666666666668,-13.344444444444441,89.1,2000
51,13.149166666666664,-14.108055555555557,89.1,2000
52,16.459999999999994,-15.671111111111111,89.1,1000
53,14.917499999999999,-17.120000000000005,89.1,500
54,14.800000000000002,-15.916666666666668,89.1,500
55,14.858333333333333,-15.895555555555555,89.1,0
56,14.683333333333334,-17.46111111111111,89.2,1000
57,12.557500000000003,-12.19027777777778,89.2,500
58,15.719166666666665,-16.4625,89.2,250
59,14.800000000000002,-15.916666666666668,89.3,500
60,13.748055555555554,-15.769166666666669,89.3,500
61,12.594444444444443,-16.26111111111111,89.3,500
62,15.608333333333333,-13.317222222222224,89.3,0
63,14.71388888888889,-17.45444444444444,89.4,500
64,14.183055555555555,-16.654722222222222,89.4,500
65,14.762777777777776,-16.9475,89.5,1000
66,16.45972222222222,-15.671111111111111,89.6,1000
67,15.368888888888891,-16.432222222222226,89.6,500
68,15.19361111111111,-12.949166666666665,89.6,316
69,15.294444444444444,-12.963888888888887,89.6,0
70,12.55,-16.266666666666666,89.6,0
71,13.978888888888891,-14.811666666666666,89.7,1000
72,14.344722222222224,-16.406388888888888,89.7,500
73,12.884444444444444,-14.949166666666665,89.7,500
74,13.978888888888891,-14.568333333333333,89.7,500
75,14.71111111111111,-17.433333333333337,89.7,200
76,14.794722222222221,-16.925555555555558,89.9,5000
77,14.71111111111111,-17.46111111111111,90.0,1000
78,15.628333333333334,-16.20416666666667,90.0,0
79,14.151944444444444,-16.109166666666674,90.1,1000
80,14.462222222222222,-12.211944444444443,90.1,500
81,15.955277777777775,-16.439722222222223,90.1,500
82,14.9075,-12.460555555555553,90.1,250
83,15.298888888888888,-13.95777777777778,90.1,10
84,14.802777777777779,-16.866944444444442,90.2,500
85,14.762777777777776,-16.9475,90.2,500
86,14.669444444444443,-17.433333333333337,90.3,8000
87,16.500000000000004,-15.500000000000002,90.3,1000
88,13.133333333333333,-13.76666666666667,90.3,1000
89,13.783333333333335,-13.669999999999998,90.3,1000
90,15.608333333333333,-13.317222222222224,90.4,5000
91,14.151944444444444,-16.109166666666674,90.4,1000
92,15.666666666666668,-13.344444444444441,90.4,0
93,14.71111111111111,-17.433333333333337,90.5,5
94,13.783333333333335,-13.669999999999998,90.6,5000
95,14.536388888888887,-16.614722222222227,90.6,1000
96,16.010555555555552,-16.491944444444442,90.6,500
97,14.104999999999999,-15.550555555555555,90.6,0
98,14.71111111111111,-17.433333333333337,90.7,10000
99,13.039444444444444,-15.690277777777776,90.7,500
100,16.644444444444442,-14.966666666666667,90.7,500
101,12.884444444444444,-14.949166666666665,90.8,0
102,12.804722222222223,-16.233333333333334,90.9,2000
103,14.666666666666668,-16.266666666666666,90.9,1000
104,14.668611111111112,-17.439999999999998,91.0,5000
105,13.783333333333335,-13.669999999999998,91.0,1000
106,14.666666666666668,-16.266666666666666,91.1,2000
107,14.188055555555557,-12.718055555555557,91.1,500
108,14.416388888888891,-16.967222222222226,91.1,500
109,13.894444444444444,-16.377777777777776,91.1,500
110,14.800000000000002,-15.916666666666668,91.2,1000
111,15.16111111111111,-16.911111111111108,91.2,300
112,14.956666666666667,-16.80222222222222,91.2,0
113,14.666666666666668,-17.433333333333337,91.3,5000
114,16.010555555555552,-16.491944444444442,91.4,2000
115,12.804722222222223,-16.233333333333334,91.4,1000
116,12.749722222222221,-14.152777777777777,91.4,500
117,14.762777777777776,-16.9475,91.4,250
118,12.831666666666667,-11.755555555555555,91.4,0
119,14.151944444444444,-16.109166666666674,91.5,5000
120,15.368888888888891,-16.432222222222226,91.5,250
121,14.097777777777777,-16.40805555555555,91.6,1000
122,12.884444444444444,-14.949166666666665,91.6,0
123,14.761111111111108,-17.411111111111108,91.7,500
124,16.500000000000004,-15.500000000000002,91.7,0
125,15.628333333333334,-16.20416666666667,91.8,1000
126,14.151944444444444,-16.109166666666674,91.9,5000
127,12.884444444444444,-14.949166666666665,91.9,5000
128,14.462222222222222,-12.211944444444443,91.9,2000
129,15.608333333333333,-13.317222222222224,91.9,1000
130,14.800000000000002,-15.916666666666668,91.9,500
131,15.955277777777775,-16.439722222222223,91.9,500
132,12.891666666666664,-14.336111111111114,91.9,0
133,14.667222222222222,-17.44111111111111,92.0,25000
134,13.783333333333335,-13.669999999999998,92.0,5000
135,12.594444444444443,-16.26111111111111,92.0,500
136,16.500000000000004,-15.500000000000002,92.0,250
137,13.849444444444448,-14.184444444444445,92.0,250
138,15.399166666666664,-15.125277777777779,92.1,1000
139,13.978888888888891,-14.811666666666666,92.1,250
140,14.344722222222224,-16.406388888888888,92.1,0
141,13.149166666666664,-14.108055555555557,92.2,2000
142,12.884444444444444,-14.949166666666665,92.2,1000
143,15.486944444444443,-13.175555555555553,92.2,250
144,16.644444444444442,-14.966666666666667,92.2,0
145,14.71111111111111,-17.433333333333337,92.3,1000
146,13.783333333333335,-13.669999999999998,92.3,0
147,14.762777777777776,-16.9475,92.3,0
148,12.594444444444443,-16.26111111111111,92.4,10000
149,14.666666666666668,-16.266666666666666,92.4,1000
150,14.179166666666665,-16.84583333333333,92.4,500
151,16.010555555555552,-16.491944444444442,92.4,500
152,16.45972222222222,-15.671111111111111,92.5,2000
153,14.679166666666667,-17.44388888888889,92.5,1000
154,12.73388888888889,-14.125555555555556,92.5,1000
155,14.104999999999999,-15.550555555555555,92.5,0
156,16.51194444444445,-14.665555555555557,92.7,5000
157,15.368888888888891,-16.432222222222226,92.7,500
158,14.151944444444444,-16.109166666666674,92.7,500
159,13.057500000000001,-15.643611111111108,92.7,250
160,13.894444444444444,-16.377777777777776,92.8,1000
161,14.344722222222224,-16.406388888888888,92.8,316
162,13.978888888888891,-14.568333333333333,92.8,250
163,14.800000000000002,-15.916666666666668,92.8,0
164,15.955277777777775,-16.439722222222223,92.9,1000
165,12.727777777777776,-15.594444444444443,92.9,316
166,14.738888888888889,-17.45083333333333,93.0,1000
167,12.654722222222222,-15.431666666666665,93.0,500
168,14.151944444444444,-16.109166666666674,93.1,5000
169,14.344722222222224,-16.406388888888888,93.1,1000
170,12.594444444444443,-16.26111111111111,93.1,0
171,16.459999999999994,-15.671111111111111,93.2,2000
172,13.783333333333335,-13.669999999999998,93.2,1000
173,12.671388888888888,-16.09138888888889,93.2,500
174,12.884444444444444,-14.949166666666665,93.2,500
175,15.628333333333334,-16.20416666666667,93.2,500
176,15.298888888888888,-13.95777777777778,93.2,500
177,16.010555555555552,-16.491944444444442,93.2,500
178,14.762777777777776,-16.9475,93.2,0
179,13.858333333333333,-16.721666666666664,93.3,250
180,14.666666666666668,-16.266666666666666,93.3,0
181,12.594444444444443,-16.26111111111111,93.4,5000
182,14.711111111111109,-17.444444444444443,93.4,1000
183,14.104999999999999,-15.550555555555555,93.4,500
184,14.250000000000002,-13.344444444444441,93.5,1000
185,15.116666666666667,-16.644444444444442,93.5,300
186,14.725,-17.47222222222222,93.6,5000
187,14.9075,-12.460555555555553,93.6,500
188,15.82888888888889,-13.451944444444443,93.6,500
189,13.783333333333335,-13.669999999999998,93.7,5000
190,14.786944444444442,-16.932777777777783,93.7,1000
191,14.71111111111111,-17.46111111111111,93.8,500
192,12.884444444444444,-14.949166666666665,93.8,0
193,14.800000000000002,-15.916666666666668,93.8,0
194,12.833333333333334,-15.966666666666667,93.9,2000
195,12.557500000000003,-12.19027777777778,93.9,1000
196,12.822222222222225,-14.87111111111111,93.9,500
197,14.151944444444444,-16.109166666666674,93.9,500
198,15.350000000000001,-15.47777777777778,94.0,2000
199,14.677222222222223,-17.45277777777778,94.0,1000
200,12.91138888888889,-14.166111111111112,94.0,1000
201,13.783333333333335,-13.669999999999998,94.0,500
202,13.497499999999999,-13.743333333333332,94.0,0
203,14.666666666666668,-16.266666666666666,94.1,1000
204,12.926944444444441,-16.740555555555552,94.1,250
205,14.250000000000002,-13.344444444444441,94.3,1000
206,16.459999999999994,-15.671111111111111,94.3,500
207,14.762777777777776,-16.9475,94.3,0
208,12.804722222222223,-16.233333333333334,94.4,500
209,14.800000000000002,-15.916666666666668,94.4,0
210,14.679166666666667,-17.44388888888889,94.5,10000
211,12.727777777777776,-15.594444444444443,94.6,5000
