,Latitude in degrees,Longitude in degrees,Frequency(MHz),EIRP
1,8.477777777777776,-13.211111111111109,88.1,4840
2,8.875,-12.054722222222225,88.1,1000
3,7.856944444444444,-11.217222222222222,88.1,0
4,8.333888888888891,-13.06888888888889,88.1,0
5,7.950555555555555,-11.740833333333333,88.3,0
6,9.17388888888889,-12.956388888888888,88.4,500
7,8.477777777777776,-13.211111111111109,88.5,7850
8,7.6025,-11.813888888888888,88.5,0
9,7.856944444444444,-11.217222222222222,88.5,0
10,8.875,-12.054722222222225,88.5,0
11,7.605555555555555,-12.172777777777776,88.5,0
12,8.324166666666667,-13.06305555555556,88.7,0
13,7.856944444444444,-11.217222222222222,88.9,500
14,8.449722222222222,-13.223333333333334,88.9,10
15,8.892500000000002,-12.041944444444443,88.9,0
16,8.629166666666665,-11.661944444444444,89.0,0
17,8.324166666666667,-13.06305555555556,89.1,0
18,9.008055555555556,-12.950277777777778,89.2,0
19,8.411388888888888,-13.212499999999997,89.3,0
20,8.629166666666665,-11.661944444444444,89.4,0
21,7.976388888888889,-11.754722222222224,89.5,0
22,9.56861111111111,-11.558055555555557,89.5,0
23,8.169444444444446,-12.418333333333333,89.6,0
24,8.449722222222222,-13.223333333333334,89.7,7850
25,7.976388888888889,-11.754722222222224,89.9,0
26,8.449722222222222,-13.223333333333334,90.1,4840
27,7.856944444444444,-11.217222222222222,90.1,0
28,9.039444444444444,-12.91277777777778,90.1,0
29,8.656111111111114,-11.007500000000002,90.2,0
30,8.490277777777779,-12.757222222222223,90.2,0
31,8.477777777777776,-13.211111111111109,90.3,0
32,8.449722222222222,-13.223333333333334,90.5,3
33,7.976388888888889,-11.754722222222224,90.5,0
34,9.129722222222222,-12.894722222222223,90.5,0
35,7.856944444444444,-11.217222222222222,90.7,0
36,8.477777777777776,-13.211111111111109,90.9,0
37,8.477777777777776,-12.216944444444445,91.0,0
38,7.976388888888889,-11.754722222222224,91.1,0
39,8.656111111111114,-11.007500000000002,91.1,0
40,8.449722222222222,-13.223333333333334,91.3,6
41,7.950555555555555,-11.740833333333333,91.5,0
42,8.247499999999997,-13.156666666666666,91.5,0
43,8.656111111111114,-11.007500000000002,91.5,0
44,8.875,-12.054722222222225,91.5,0
45,8.875,-12.054722222222225,91.7,60
46,8.449722222222222,-13.223333333333334,91.7,3
47,7.950555555555555,-11.740833333333333,91.9,0
48,8.477777777777776,-13.211111111111109,92.1,0
49,8.656111111111114,-11.007500000000002,92.2,1000
50,7.856944444444444,-11.217222222222222,92.3,0
51,9.116666666666667,-12.916666666666668,92.4,0
52,8.477777777777776,-13.211111111111109,92.5,4840
53,8.875,-12.054722222222225,92.5,250
54,8.109444444444444,-12.078888888888887,92.5,0
55,8.449722222222222,-13.223333333333334,92.9,7850
56,7.950555555555555,-11.740833333333333,92.9,0
57,7.856944444444444,-11.217222222222222,93.0,0
58,7.765555555555554,-12.295833333333334,93.1,0
59,9.856944444444443,-11.32,93.3,0
60,8.892500000000002,-12.041944444444443,93.3,0
61,7.856944444444444,-11.217222222222222,93.5,2000
62,8.140277777777776,-13.19027777777778,93.5,0
63,8.477777777777776,-13.211111111111109,93.5,0
64,8.723333333333333,-11.944999999999999,93.5,0
65,8.449722222222222,-13.223333333333334,93.7,4840
66,9.56861111111111,-11.558055555555557,93.7,500
67,8.410000000000002,-11.84472222222222,93.7,0
68,9.495,-12.238055555555555,94.0,0
69,8.723333333333333,-11.944999999999999,94.0,0
70,8.477777777777776,-13.211111111111109,94.1,3
71,7.856944444444444,-11.217222222222222,94.4,0
72,8.449722222222222,-13.223333333333334,94.5,8000
73,7.950555555555555,-11.740833333333333,94.5,120
74,8.169444444444446,-12.418333333333333,94.8,500
75,8.477777777777776,-13.211111111111109,94.9,0
76,8.46111111111111,-12.250000000000002,95.0,0
77,8.284722222222223,-10.56777777777778,95.1,1000
78,8.875,-12.054722222222225,95.1,0
79,8.449722222222222,-13.223333333333334,95.3,6880
80,7.856944444444444,-11.217222222222222,95.3,60
81,8.284722222222223,-10.56777777777778,95.3,0
82,8.003055555555553,-10.949444444444444,95.3,0
83,7.950555555555555,-11.740833333333333,95.5,0
84,8.449722222222222,-13.223333333333334,95.7,7850
85,8.656111111111114,-11.007500000000002,95.7,0
86,8.605833333333333,-13.194444444444443,95.9,0
87,8.215833333333332,-13.094722222222224,96.1,6880
88,8.477777777777776,-13.211111111111109,96.1,3
89,7.9875,-10.847777777777779,96.1,0
90,8.324166666666667,-13.06305555555556,96.3,0
91,7.950555555555555,-11.740833333333333,96.5,2000
92,8.449722222222222,-13.223333333333334,96.5,30
93,8.656111111111114,-11.007500000000002,96.5,0
94,7.525277777777779,-12.503611111111109,96.9,0
95,9.045000000000002,-11.748055555555554,96.9,0
96,8.408888888888889,-13.14527777777778,96.9,0
97,8.875,-12.054722222222225,96.9,0
98,7.976388888888889,-11.754722222222224,97.1,0
99,8.349444444444446,-13.223055555555558,97.1,0
100,7.856944444444444,-11.217222222222222,97.1,0
