,Latitude in degrees,Longitude in degrees,Frequency(MHz),EIRP
0,-15.941666666666668,-5.727777777777777,88.1,250
1,-15.941666666666668,-5.727777777777777,90.5,500
2,-15.972222222222225,-5.741666666666665,91.1,100
3,-15.941666666666668,-5.727777777777777,93.1,500
4,-15.941666666666668,-5.688055555555555,95.1,50
5,-15.941666666666668,-5.708055555555556,100.7,30
6,-15.925,-5.7175,102.7,30
7,-15.963888888888887,-5.679722222222223,105.1,100
8,-15.980555555555558,-5.754444444444444,105.3,100
9,-15.925,-5.7175,106.7,30
