,Latitude in degrees,Longitude in degrees,Frequency(MHz),EIRP
0,11.09166666666667,30.563888888888894,88.0,300
1,15.633611111111112,32.52194444444445,88.3,0
2,15.594444444444443,32.51666666666667,88.6,0
3,15.61111111111111,32.511111111111106,89.0,5000
4,15.61111111111111,32.511111111111106,89.5,1000
5,15.588611111111113,32.44722222222222,90.0,100000
6,10.559166666666666,34.28583333333334,90.9,4000
7,13.177777777777777,30.200000000000003,91.0,0
8,15.61111111111111,32.511111111111106,91.0,0
9,19.611111111111107,37.216666666666676,91.0,0
10,19.611111111111107,37.216666666666676,91.4,1000
11,14.407222222222222,33.503611111111105,91.5,0
12,15.61111111111111,32.511111111111106,91.6,5000
13,15.61111111111111,32.511111111111106,92.0,1000
14,15.61111111111111,32.511111111111106,92.3,0
15,15.633611111111112,32.52194444444445,92.6,0
16,15.61111111111111,32.511111111111106,93.0,0
17,15.650000000000002,32.49444444444445,93.0,0
18,13.416666666666666,34.63333333333334,93.3,1000
19,15.594444444444443,32.51666666666667,93.3,0
20,15.633611111111112,32.52194444444445,94.0,10000
21,10.559166666666666,34.28583333333334,94.1,4000
22,13.416666666666666,34.63333333333334,94.6,1000
23,15.588611111111113,32.44722222222222,95.0,100000
24,13.416666666666666,34.63333333333334,95.0,1000
25,15.61111111111111,32.511111111111106,96.0,1000
26,19.611111111111107,37.216666666666676,96.0,1000
27,14.407222222222222,33.503611111111105,96.0,1000
28,15.633611111111112,32.52194444444445,96.3,0
29,15.61111111111111,32.511111111111106,96.6,10000
30,15.588611111111113,32.44722222222222,97.0,100000
31,15.633611111111112,32.52194444444445,97.0,0
32,10.559166666666666,34.28583333333334,97.4,4000
33,15.61111111111111,32.511111111111106,97.5,1000
34,14.03888888888889,35.377500000000005,98.0,100000
35,13.177777777777777,30.200000000000003,98.0,100000
36,19.175000000000004,30.47222222222222,98.0,100000
37,11.027777777777777,29.727777777777778,98.0,100000
38,15.4,36.416666666666664,98.0,100000
39,15.588611111111113,32.44722222222222,98.0,100000
40,13.55,33.58333333333334,98.0,100000
41,12.027777777777777,24.911111111111108,98.0,50000
42,15.61111111111111,32.511111111111106,98.3,0
43,15.61111111111111,32.511111111111106,99.0,0
44,10.559166666666666,34.28583333333334,99.0,0
45,15.61111111111111,32.511111111111106,99.3,300
46,15.588611111111113,32.44722222222222,99.6,100000
47,12.727222222222222,34.122499999999995,99.6,1000
48,15.588611111111113,32.44722222222222,100.0,100000
49,13.416666666666666,34.63333333333334,100.0,1000
50,10.559166666666666,34.28583333333334,100.9,4000
51,15.61111111111111,32.511111111111106,101.0,0
52,15.633611111111112,32.52194444444445,101.3,1000
53,12.727222222222222,34.122499999999995,101.5,1000
54,13.416666666666666,34.63333333333334,102.0,1000
55,15.594444444444443,32.51666666666667,102.0,0
56,9.596388888888887,28.435000000000002,102.3,0
57,15.594444444444443,32.51666666666667,102.3,0
58,15.61111111111111,32.511111111111106,102.6,0
59,15.61111111111111,32.511111111111106,103.0,0
60,17.700000000000003,33.98333333333334,104.0,0
61,15.61111111111111,32.511111111111106,104.0,0
62,10.559166666666666,34.28583333333334,104.5,4000
63,15.61111111111111,32.511111111111106,104.6,0
64,15.588611111111113,32.44722222222222,105.0,100000
65,19.611111111111107,37.216666666666676,105.0,100000
66,13.416666666666666,34.63333333333334,105.0,1000
67,15.594444444444443,32.51666666666667,105.0,0
68,15.633611111111112,32.52194444444445,105.3,0
69,15.594444444444443,32.51666666666667,106.0,0
70,12.727222222222222,34.122499999999995,106.3,1000
71,15.633611111111112,32.52194444444445,106.6,10000
72,15.588611111111113,32.44722222222222,107.0,100000
73,11.233333333333334,30.533333333333335,107.9,300
