Latitude in degrees,Longitude in degrees,Frequency(MHz),EIRP
12.3101,-69.5941,88.1,1000
12.3101,-69.5941,88.9,0
12.2914,-69.5626,89.9,10000
12.3101,-69.5941,90.7,0
12.3101,-69.5941,91.5,0
12.3101,-69.5941,92.3,0
12.3101,-69.5942,93.1,1000
12.3101,-69.5941,94.1,0
12.2914,-69.5626,95.1,2000
12.3101,-69.5941,96.5,0
12.3101,-69.5941,97.9,1000
12.3101,-69.5941,98.9,1000
12.2914,-69.5626,99.9,3700
12.3101,-69.5941,100.9,1000
12.3101,-69.5941,101.7,0
12.27,-69.56,102.7,300
12.3101,-69.5941,103.5,0
12.3101,-69.5941,104.3,0
12.3101,-69.5941,106.7,6000
12.2914,-69.5626,107.5,1500
