Latitude in degrees,Longitude in degrees,Frequency(MHz),EIRP
26.4614,-77.173,50.04,25
25.0248,-77.1902,88.3,0
25.3238,-76.4507,89.9,20000
25.0248,-77.1902,90.1,0
25.0248,-77.1902,90.9,0
25.0248,-77.1902,91.7,0
25.0248,-77.1902,92.5,2300
26.32,-77.04,93.5,5000
25.0248,-77.1902,93.9,0
26.32,-78.39,94.9,5000
25.0248,-77.1902,94.9,5000
26.32,-77.04,95.5,5000
26.32,-78.39,96.1,5000
25.0248,-77.1902,96.1,5000
25.0248,-77.1902,96.9,0
26.32,-78.39,97.5,5000
25.0248,-77.1902,97.5,1000
23.3,-75.47,97.7,2000
25.0248,-77.1902,98.1,1000
23.3,-75.47,98.3,0
20.57,-73.402,98.3,0
24.54,-76.1,98.5,0
25.0248,-77.1902,98.7,1000
25.0248,-77.1902,99.1,0
25.0248,-77.1902,99.5,0
26.32,-77.04,100.1,5000
26.32,-78.39,100.3,5000
25.0248,-77.1902,100.3,5000
26.52,-77.31,100.5,0
25.0248,-77.1902,101.1,0
25.0248,-77.1902,101.9,5000
26.32,-78.39,102.1,5000
25.0248,-77.1902,102.3,0
25.0248,-77.1902,102.9,5000
25.0248,-77.1902,103.5,0
26.32,-78.39,103.7,5000
26.32,-78.39,104.5,20000
25.0248,-77.1902,104.5,10000
25.0248,-77.1902,105.1,0
26.32,-78.39,105.9,5000
25.0248,-77.1902,105.9,0
20.57,-73.402,106.1,0
25.0248,-77.1902,106.1,0
25.0248,-77.1902,106.5,0
25.0248,-77.1902,107.1,500
25.0248,-77.1902,107.3,0
25.0248,-77.1902,107.5,0
25.0248,-77.1902,107.9,10000
