Latitude in degrees,Longitude in degrees,Frequency(MHz),EIRP
53.112,29.2133,66.02,20045
53.0244,24.0604,66.08,5649
52.2601,31.004,66.2,9727
53.4207,23.4919,66.2,8954
52.105,26.0323,66.32,6577
54.2808,26.2443,66.38,2312
52.1327,28.3044,66.44,9247
53.2004,32.0144,66.47,8933
53.035,25.2824,66.56,8260
55.144,28.383,66.74,5585
53.2748,26.1324,66.74,100
54.5335,26.4822,66.86,9594
54.0048,31.4104,66.89,1549
53.4207,23.4919,66.98,9268
52.2601,31.004,66.98,4315
53.4945,28.5753,67.07,330
,,67.07,0
52.105,26.0323,67.1,6577
54.2808,26.2443,67.19,2312
52.1327,28.3044,67.22,8650
53.2004,32.0144,67.25,9057
53.035,25.2824,67.34,8960
51.475,30.1534,67.37,9204
53.1922,28.4118,67.46,9661
55.2345,26.3838,67.46,120
53.1144,24.0115,67.46,100
54.5335,26.4822,67.64,9594
53.5428,27.2728,67.7,0
52.2601,31.004,67.76,9727
53.4207,23.4919,67.76,8954
54.3654,30.2405,67.85,5970
52.105,26.0323,67.88,6561
54.2808,26.2443,67.97,4688
52.1327,28.3044,68,9247
53.2004,32.0144,68.03,8933
53.035,25.2824,68.12,8260
51.475,30.1534,68.3,9204
55.144,28.383,68.3,5585
54.0708,25.3337,68.39,9683
52.5449,30.0236,68.45,4753
53.2555,24.3648,68.48,1679
52.4646,27.2739,68.57,1786
54.5335,26.4822,68.69,9594
53.0244,24.0604,68.72,5649
53.5719,27.4723,68.84,500
,,68.87,0
53.4207,23.4919,68.9,9268
53.112,29.2133,68.96,10023
52.105,26.0323,69.08,6561
55.3829,26.5925,69.08,6486
51.475,30.1534,69.11,9204
54.3654,30.2405,69.14,5970
54.0708,25.3337,69.26,9376
52.2601,31.004,69.26,4315
53.2004,32.0144,69.38,9057
53.035,25.2824,69.44,8960
52.0816,23.5858,69.68,6353
52.5449,30.0236,69.68,4732
52.13,25.0915,69.8,500
51.475,30.1534,69.92,9204
55.1135,30.0958,69.92,6237
53.5925,30.1936,70.1,8472
54.2808,26.2443,70.13,4688
52.4646,27.2739,70.22,1786
52.1327,28.3044,70.28,8650
54.5335,26.4822,70.31,9594
53.5315,25.1803,70.31,0
53.4215,31.4143,70.34,1807
53.5719,27.4723,70.43,8954
55.1135,30.0958,70.67,5754
53.2555,24.3648,70.76,1679
54.4504,25.535,70.76,918
53.4945,28.5753,70.79,1318
53.4533,26.0155,70.85,804
52.0816,23.5858,70.91,6353
53.1922,28.4118,70.91,4753
55.144,28.383,70.94,5521
53.0837,27.0412,70.97,111
52.5449,30.0236,71.03,4753
53.5925,30.1936,71.18,7656
53.0732,25.5949,71.18,261
53.5719,27.4723,71.33,8872
53.112,29.2133,71.45,10023
55.1135,30.0958,71.48,6237
54.0708,25.3337,71.54,9683
,,71.61,0
53.1922,28.4118,71.69,9661
52.0816,23.5858,71.69,6353
,,71.77,0
52.5449,30.0236,71.81,4732
,,71.85,0
53.5925,30.1936,71.96,8472
55.3829,26.5925,71.99,6486
53.5719,27.4723,72.11,8954
52.13,25.0915,72.14,500
52.4646,27.2739,72.23,1786
55.1135,30.0958,72.26,5754
54.0708,25.3337,72.32,9376
52.0816,23.5858,72.47,6353
53.1922,28.4118,72.47,4753
52.2601,31.004,72.62,1000
55.144,28.383,72.65,5521
53.5925,30.1936,72.74,7656
54.4504,25.535,72.8,918
55.2345,26.3838,72.8,30
53.5719,27.4723,72.89,8872
55.3829,26.5925,72.98,6486
53.112,29.2133,73.01,20045
52.0927,29.5424,73.19,1047
53.0837,27.0412,73.22,111
52.5449,30.0236,73.34,1000
55.3829,26.5925,73.49,6486
54.0048,31.4104,73.73,387
51.5302,26.4717,73.79,403
54.3654,30.2405,73.82,2985
52.0348,29.111,73.85,200
55.2345,26.3838,74,30
52.0816,23.5858,87.5,2518
53.5719,27.4723,87.5,1479
53.1922,28.4118,87.5,1000
53.4207,23.4919,87.5,955
53.0837,27.0412,87.7,656
55.28,28.48,87.8,1000
53.5719,27.4723,87.9,1480
54.2808,26.2443,88,500
54.3604,26.5201,88,500
53.5925,30.1936,88,470
52.1327,28.3044,88.1,6950
52.3422,24.3104,88.1,1185
53.473,26.3124,88.1,500
55.144,28.383,88.2,2123
53.4207,23.4919,88.2,1445
53.5719,27.4723,88.3,2000
52.4646,27.2739,88.4,3100
53.035,25.2824,88.4,1093
52.3759,29.4448,88.4,800
55.3829,26.5925,88.4,487
52.0816,23.5858,88.5,1288
55.1135,30.0958,88.5,138
52.1327,28.3044,88.6,8433
53.4945,28.5753,88.7,4000
54.062,26.3026,88.7,1000
52.2601,31.004,88.8,50
53.0732,25.5949,88.9,1188
53.4207,23.4919,88.9,100
55.28,28.48,89,1000
52.4646,27.2739,89,792
53.56,27.34,89.1,500
54.3654,30.2405,89.1,434
52.1327,28.3044,89.2,5000
54.1445,26.4937,89.2,1679
53.4945,28.5753,89.4,1000
53.4,23.5,89.5,500
55.1135,30.0958,89.5,394
52.13,25.0915,89.5,203
53.5925,30.1936,89.6,3758
51.45,28.15,89.6,500
52.3422,24.3104,89.7,1185
52.3953,28.1317,89.7,500
52.2601,31.004,89.7,363
55.3829,26.5925,89.7,184
53.2748,26.1324,89.8,1000
53.1922,28.4118,89.9,2192
53.4207,23.4919,89.9,1445
53.5925,30.1936,90,1667
54.093,27.1523,90,500
55.144,28.383,90.1,4246
51.4733,30.153,90.1,2000
53.035,25.2824,90.2,890
53.112,29.2133,90.2,847
52.4646,27.2739,90.3,792
52.3422,24.3104,90.3,447
54.062,26.3026,90.4,1000
52.5449,30.0236,90.4,490
53.4207,23.4919,90.4,95
52.1327,28.3044,90.5,3475
54.1222,28.2919,90.5,1119
54.5335,26.4822,90.5,877
52.2601,31.004,90.5,106
54.3654,30.2405,90.6,1736
53.2748,26.1324,90.6,1445
52.4646,27.2739,90.7,3160
53.112,29.2133,90.7,902
55.144,28.383,90.8,3097
53.56,27.34,90.9,1000
53.1922,28.4118,91,1995
52.2601,31.004,91,1932
54.2808,26.2443,91,1399
54.01,31.41,91,200
55.3829,26.5925,91.1,3715
53.035,25.2824,91.2,7000
55.1135,30.0958,91.2,2938
51.475,30.1534,91.2,2000
53.5719,27.4723,91.3,1000
54.5335,26.4822,91.3,1000
55.144,28.383,91.4,1061
53.112,29.2133,91.4,500
52.2601,31.004,91.5,5070
52.0816,23.5858,91.5,3373
53.2004,32.0144,91.5,1000
54.062,26.3026,91.5,1000
54.3654,30.2405,91.5,868
52.1327,28.3044,91.6,20000
53.0244,24.0604,91.6,1000
53.5719,27.4723,91.7,2000
55.1135,30.0958,91.7,789
52.4646,27.2739,91.9,3100
53.5925,30.1936,91.9,1667
53.5315,25.1803,91.9,200
55.144,28.383,92,3097
54.2808,26.2443,92.1,1380
52.2601,31.004,92.1,685
53.035,25.2824,92.1,0
52.105,26.0323,92.2,1409
55.1135,30.0958,92.2,783
52.5449,30.0236,92.3,776
53.5719,27.4723,92.4,5500
54.3654,30.2405,92.4,434
54.0708,25.3337,92.5,1459
53.4945,28.5753,92.6,5000
53.035,25.2824,92.7,3483
53.5719,27.4723,92.8,2454
52.0558,23.4611,92.8,500
52.5449,30.0236,92.8,388
55.1135,30.0958,92.8,0
52.105,26.0323,92.9,2667
53.4207,23.4919,92.9,478
53.1922,28.4118,93,2192
54.5335,26.4822,93.1,1000
53.5925,30.1936,93.2,1667
53.0732,25.5949,93.2,724
54.1445,26.4937,93.3,1679
53.5014,28.1429,93.3,500
55.1135,30.0958,93.3,158
53.4207,23.4919,93.3,100
53.54,25.18,93.5,2000
53.0244,24.0604,93.5,200
52.105,26.0323,93.6,1380
55.144,28.383,93.6,500
53.5719,27.4723,93.7,11116
52.0538,23.402,93.7,0
53.035,25.2824,93.8,3483
55.275,29.5859,93.8,43
53.4,23.5,93.8,10
53.5925,30.1936,93.8,0
54.08,25.35,93.9,1000
55.144,28.383,94,1000
53.5719,27.4723,94.1,1660
52.105,26.0323,94.1,753
53.0244,24.0604,94.2,166
53.5315,25.1803,94.3,3467
51.475,30.1534,94.3,1928
55.113,30.1006,94.3,1000
53.5925,30.1936,94.3,470
52.05,23.42,94.3,200
54.2808,26.2443,94.4,6592
54.062,26.3026,94.4,1000
53.1922,28.4118,94.4,200
52.105,26.0323,94.6,2265
54.2437,27.5118,94.6,316
53.4,23.5,94.6,30
53.4945,28.5753,94.7,2649
53.2748,26.1324,94.7,1445
52.2601,31.004,94.7,72
54.5335,26.4822,94.8,2000
53.035,25.2824,94.9,3483
52.053,23.4147,94.9,105
53.4207,23.4919,95,1026
53.56,27.34,95,1000
52.13,25.0915,95,500
53.1922,28.4118,95.1,1096
53.4215,31.4143,95.1,250
52.05,23.42,95.2,500
54.08,25.35,95.3,1000
54.3835,27.2805,95.3,500
53.425,27.0717,95.3,500
55.113,30.1006,95.4,1000
53.0732,25.5949,95.4,500
53.112,29.2133,95.4,424
53.4207,23.4919,95.7,3581
52.4646,27.2739,95.7,1659
53.5925,30.1936,95.7,834
55.3829,26.5925,95.7,200
53.5719,27.4723,95.8,2000
51.5302,26.4717,95.9,1000
53.33,31.23,96,500
53.5719,27.4723,96.2,6300
55.1135,30.0958,96.2,789
53.035,25.2824,96.3,445
53.4,23.5,96.3,30
53.5925,30.1936,96.4,1667
52.053,23.4147,96.4,527
52.2601,31.004,96.4,182
54.1222,28.2919,96.5,500
54.1445,26.4937,96.6,1679
51.5302,26.4717,96.6,500
54.01,31.41,96.6,200
55.1135,30.0958,96.7,1469
53.0244,24.0604,96.7,183
52.5449,30.0236,96.8,1706
53.5719,27.4723,96.9,1663
53.4207,23.4919,96.9,1026
52.053,23.4147,96.9,258
53.5434,27.3421,96.9,200
53.0732,25.5949,97,1188
54.1445,26.4937,97.1,1542
53.112,29.2133,97.1,200
53.5925,30.1936,97.2,1879
53.035,25.2824,97.3,1900
53.5719,27.4723,97.4,5500
55.3829,26.5925,97.4,974
53.54,25.18,97.5,1000
53.5925,30.1936,97.6,1000
54.2808,26.2443,97.7,2000
53.1922,28.4118,97.7,1995
52.053,23.4147,97.7,258
54.0708,25.3337,97.8,1928
55.1135,30.0958,97.8,1567
53.5719,27.4723,98,1445
52.13,25.0915,98,500
53.112,29.2133,98,392
53.5925,30.1936,98.1,1667
55.3117,28.3337,98.1,500
55.3829,27.03,98.2,1000
