Latitude in degrees,Longitude in degrees,Frequency(MHz),EIRP
-8.0507,-39.0903,30.335,0
-5.3114,-47.2729,50.018,45
-3.0615,-60.023,50.026,0
-21.534,-41.023,50.038,0
-23.361,-46.323,50.046,0
-21.134,-43.4229,50.047,30
-22.461,-47.023,50.072,0
-20.261,-54.323,50.081,10
-20.184,-40.173,50.085,5
-8.0339,-34.5252,76.1,50000
-23.32,-46.37,76.7,60000
-22.494,-43.0307,76.9,0
-23.32,-46.37,77.1,75000
-23.33,-46.4031,77.5,75000
-23.323,-46.4142,77.9,5000
-23.31,-46.12,78.3,15000
-23.315,-46.473,79.1,5000
-25.233,-49.1706,79.3,60000
-23.3,-46.37,79.5,0
-22.564,-46.3241,79.7,4259
-23.315,-46.473,79.9,5000
-23.29,-47.27,80.1,0
-23.402,-46.3236,80.3,50000
-23.372,-46.3317,80.7,15000
-29.56,-50.59,80.7,0
-23.393,-47.1323,80.9,5000
-23.542,-46.3322,81.1,5000
-23.392,-46.2625,81.5,5000
-29.453,-51.0555,81.9,5000
-23.402,-46.3236,81.9,5000
-22.451,-47.2451,81.9,3000
-22.335,-47.2349,82.9,50000
-23.3,-46.37,83.1,0
-30.015,-51.1348,83.3,50000
-23.31,-46.12,83.9,5000
-23.271,-46.3158,84.1,5000
-23.33,-46.3802,84.3,5000
-23.34,-46.3903,84.7,1500
-30.015,-51.1348,84.9,50000
-21.093,-47.5403,85.3,0
-23.271,-46.3158,85.5,5000
-22.54,-47.05,85.7,0
-23.32,-46.37,86.3,50000
-23.325,-46.5558,86.7,5000
-23.3,-46.37,86.7,0
-22.543,-43.1032,87.1,100000
-8.0339,-34.5252,87.1,60000
-23.323,-46.4142,87.1,60000
-19.55,-43.56,87.1,0
-15.47,-47.55,87.1,0
-22.31,-41.5649,87.1,0
-22.283,-46.3717,87.5,25
-27.155,-49.4239,87.5,25
-27.42,-49.2005,87.5,25
-18.44,-43.2153,87.5,25
-27.542,-49.0736,87.5,25
-28.512,-51.1652,87.5,25
-27.021,-49.232,87.5,25
-23.254,-47.0348,87.5,25
-30.544,-51.3009,87.5,25
-29.231,-51.5726,87.5,25
-29.325,-49.5312,87.5,25
-23.075,-50.2305,87.5,25
-29.224,-51.3003,87.5,25
-22.305,-44.1128,87.5,25
-22.291,-43.4907,87.5,25
-22.264,-43.4803,87.5,25
-23.31,-46.53,87.5,25
-23.291,-46.5311,87.5,25
-29.095,-51.3103,87.5,25
-23.074,-46.2811,87.5,25
-29.324,-51.3546,87.5,25
-23.214,-46.4438,87.5,25
-23.201,-46.493,87.5,25
-29.404,-51.0337,87.5,25
-25.59,-49.41,87.5,25
-25.59,-49.4153,87.5,25
-29.404,-51.1924,87.5,25
-29.162,-51.5902,87.5,25
-28.264,-48.5719,87.5,25
-23.31,-46.5,87.5,25
-23.33,-46.5037,87.5,25
-29.095,-51.0926,87.5,25
-27.371,-53.102,87.5,25
-30.452,-51.584,87.5,25
-30.445,-51.5846,87.5,25
-18.484,-43.4025,87.5,25
-29.104,-52.0534,87.5,25
-9.3818,-35.4807,87.5,25
-23.412,-47.0156,87.5,25
-23.363,-46.561,87.5,25
-28.592,-51.4142,87.5,25
-27.273,-53.1441,87.5,25
-23.47,-53.0418,87.5,25
-23.404,-46.363,87.5,25
-23.433,-46.3703,87.5,25
-30.421,-52.0628,87.5,25
-18.575,-43.1538,87.5,25
-29.22,-49.51,87.5,25
-23.495,-46.4842,87.5,25
-23.394,-46.4748,87.5,25
-29.141,-51.5237,87.5,25
-29.395,-51.1018,87.5,25
-29.133,-51.2052,87.5,25
-23.323,-46.223,87.5,25
-23.174,-46.4428,87.5,25
-23.191,-46.4337,87.5,25
-29.172,-51.3351,87.5,25
-29.543,-51.461,87.5,25
-28.111,-49.1251,87.5,25
-29.221,-50.5302,87.5,25
-24.08,-51.31,87.5,25
-23.294,-46.3311,87.5,25
-23.274,-46.3147,87.5,25
-23.274,-46.3147,87.5,25
-23.253,-46.3242,87.5,25
-23.242,-46.2452,87.5,25
-23.24,-46.2802,87.5,25
-23.27,-46.2838,87.5,25
-23.272,-46.3408,87.5,25
-29.342,-50.471,87.5,25
-23.484,-45.2156,87.5,25
-18.441,-44.2203,87.5,25
-22.505,-43.4545,87.5,25
-23.005,-50.2428,87.5,25
-23.425,-46.512,87.5,25
-27.093,-53.4151,87.5,25
-23.27,-46.2043,87.5,25
-29.295,-54.4125,87.5,25
-23.31,-46.54,87.5,25
-23.321,-46.5441,87.5,25
-26.574,-49.3735,87.5,25
-22.31,-46.39,87.5,25
-22.314,-46.3845,87.5,25
-29.354,-51.1232,87.5,25
-29.36,-51.1241,87.5,25
-27.1,-49.3228,87.5,25
-23.315,-47.1033,87.5,25
-29.124,-49.5608,87.5,25
-1.2132,-48.2032,87.5,25
-25.493,-48.3219,87.5,25
-23.392,-46.2625,87.5,25
-23.412,-46.2728,87.5,25
-3.3301,-44.35,87.5,25
-23.322,-46.1328,87.5,25
-22.235,-46.5653,87.5,25
-22.26,-46.342,87.5,25
-24.03,-53.0044,87.5,25
-29.321,-51.0448,87.5,25
-31.061,-50.5526,87.5,25
-29.092,-51.5143,87.5,25
-12.372,-38.5914,87.5,25
-13.021,-39.0022,87.5,25
-28.403,-52.0951,87.5,25
-29.35,-50.54,87.5,25
-29.35,-50.5425,87.5,25
-29.014,-51.1818,87.5,25
-29.223,-51.0638,87.5,25
-28.21,-49.1745,87.5,25
-28.162,-53.3238,87.5,25
-22.102,-43.1708,87.5,25
-29.38,-50.5,87.5,25
-29.374,-50.4958,87.5,25
-29.33,-51.4355,87.5,25
-7.241,-35.0628,87.5,25
-8.5905,-48.101,87.5,25
-26.055,-49.2532,87.5,25
-23.45,-47.2324,87.5,25
-23.424,-47.25,87.5,25
-22.303,-44.0054,87.5,25
-23.031,-46.2133,87.5,25
-23.245,-46.5944,87.5,25
-23.32,-46.2,87.5,25
-23.311,-46.2038,87.5,25
-23.332,-46.2047,87.5,25
-22.253,-44.1753,87.5,25
-29.101,-52.1227,87.5,25
-27.154,-49.5542,87.5,25
-29.143,-52.1844,87.5,25
-22.243,-44.1539,87.5,25
-29.064,-52.0417,87.5,25
-23.422,-46.2427,87.5,25
-28.082,-49.0653,87.5,25
-23.445,-46.2349,87.5,25
-27.114,-49.4729,87.5,25
-29.17,-51.52,87.5,25
-29.161,-51.5109,87.5,25
-23.442,-46.3441,87.5,25
-23.411,-46.324,87.5,25
-23.434,-46.322,87.5,25
-23.463,-46.3548,87.5,25
-23.472,-46.3206,87.5,25
-29.263,-50.3448,87.5,25
-29.573,-51.433,87.5,25
