Latitude in degrees,Longitude in degrees,Frequency(MHz),EIRP
-19.31,29.5545,87.6,50000
-18.43,31.3619,87.9,70000
-17.085,30.4202,88,71000
-21.17,30.4926,88,50000
-19.471,32.5225,88.2,10000
-20.423,27.5432,88.2,1000
-16.272,31.1452,88.2,1000
-20.293,27.4812,88.3,50000
-18.175,27.032,88.4,71000
-22.11,30.0052,88.5,32000
-18.245,29.5411,88.5,32000
-18.054,32.46,88.6,50000
-16.304,28.4746,88.6,7100
-16.474,31.2833,88.9,50000
-17.32,28.2208,89,70000
-18.561,32.394,89.1,65000
-20.553,29.0401,89.1,50000
-21.051,31.4356,89.2,70000
-19.491,27.4759,89.3,5000
-18.143,30.5145,89.3,1000
-17.472,28.5749,89.4,70000
-18.175,27.032,89.4,10000
-21.404,31.1913,89.5,70000
-21.02,28.2252,89.5,70000
-20.061,30.5138,89.5,250
-18.27,29.0515,89.6,80000
-17.472,31.0521,89.7,71000
-20.081,31.0557,89.8,50000
-18.033,25.5541,89.8,7100
-18.27,29.0515,89.9,80000
-18.033,25.5541,89.9,8000
-20.114,28.3422,90,64000
-18.335,32.433,90,5000
-21.026,31.4,90,250
-20.375,30.1857,90.1,70000
-16.272,31.1452,90.1,20000
-22.11,30.0052,90.1,1000
-18.555,30.5459,90.2,71000
-19.491,27.4759,90.2,70000
-16.51,29.3703,90.3,10000
-17.191,32.3216,90.4,50000
-19.071,27.5743,90.4,32000
-19.31,29.5545,90.7,64000
-22.07,31.1221,90.7,2000
-18.43,31.3619,91,70000
-17.085,30.4202,91.1,80000
-21.17,30.4926,91.1,50000
-18.033,25.5541,91.2,10000
-19.471,32.5225,91.3,10000
-20.293,27.4812,91.4,50000
-17.19,31.3403,91.4,1000
-18.175,27.032,91.5,50000
-18.245,29.5411,91.6,71000
-22.11,30.0052,91.6,7100
-18.054,32.46,91.7,50000
-16.304,28.4746,91.7,7100
-20.2,30.0512,91.8,5000
-16.474,31.2833,92,50000
-20.553,29.0401,92.2,50000
-18.561,32.394,92.2,50000
-21.051,31.4356,92.3,70000
-19.491,27.4759,92.3,5000
-17.472,28.5749,92.5,70000
-21.404,31.1913,92.6,70000
-21.02,28.2252,92.6,70000
-16.474,31.2833,92.7,5000
-17.472,31.0521,92.8,10000
-18.033,25.5541,92.9,50000
-20.081,31.0557,92.9,32000
-18.27,29.0515,93,50000
-20.114,28.3422,93.1,71000
